,A.muc,Firmicutes,Bacteroidetes,Lactobucillius,Bifido,Parab,16S
B14+AC0-2,32.51,16.363,13.952,,22.193,40,12.713
B14+AC0-2,33.517,16.465,13.949,37.05,22.099,39.758,13.006
B14+AC0-3,32.177,16.326,13.745,35.185,25.008,,12.75
B14+AC0-3,32.055,16.601,13.645,34.869,24.794,40,12.603
B14+AC0-3,,16.603,13.692,35.801,24.642,38.421,12.869
B16+AC0-1,31.004,17.095,14.354,35.124,26.03,30.565,13.135
B16+AC0-1,31.106,17.07,14.318,35.121,25.905,30.296,12.989
B16+AC0-1,31.635,17.104,14.255,36.114,25.78,30.912,13.181
B16+AC0-2,29.859,17.186,15.421,34.632,26.412,28.461,13.272
B16+AC0-2,30.138,17.3,14.864,,26.212,27.636,13.372
B16+AC0-2,30.073,17.284,14.728,34.786,26.477,27.998,13.659
B16+AC0-3,32.243,16.379,14.529,,24.214,31.95,13.198
B16+AC0-3,32.882,16.398,14.509,36.191,24.216,32.24,13.312
B16+AC0-3,,16.363,14.531,36.07,24.001,32.095,13.398
B17+AC0-1,28.341,16.815,15.173,35.023,22.881,40,13.552
B17+AC0-1,,16.86,15.079,,22.901,,13.534
B17+AC0-1,28.233,16.629,15.027,34.166,22.848,39.725,13.752
B17+AC0-2,29.733,17.051,13.959,34.135,23.04,40,12.335
B17+AC0-2,29.045,17.167,14.072,34.448,23.121,40,12.921
B17+AC0-2,29.261,17.146,14.2,,23.095,40,12.952
B17+AC0-3,31.709,20.8,17.781,36.194,23.583,40,16.805
B17+AC0-3,31.628,19.436,17.869,35.207,23.309,40,16.378
B17+AC0-3,31.999,19.511,18.533,36.432,23.502,40,16.538
B18+AC0-1,19.835,16.778,15.22,34.906,24.551,27.443,13.758
B18+AC0-1,19.78,16.678,15.295,34.853,24.512,27.373,13.724
B18+AC0-1,19.572,16.541,15.357,,24.648,27.641,14.044
B18+AC0-2,17.818,14.814,14.807,35.986,17.747,26.636,12.554
B18+AC0-2,17.582,14.643,14.704,34.33,17.681,26.525,12.54
B18+AC0-2,17.626,14.496,14.922,,18.01,26.633,12.827
B18+AC0-3,21.203,16.541,16.883,29.694,21.59,28.176,14.811
B18+AC0-3,20.708,16.568,16.903,29.305,21.468,28.083,14.656
B18+AC0-3,21.037,15.951,16.794,29.313,21.536,28.178,14.833
B19+AC0-1,32.21,17.521,14.332,33.309,23.056,40,12.995
B19+AC0-1,32.215,17.222,14.153,33.892,22.917,,12.84
B19+AC0-1,32.284,17.095,14.143,33.18,22.744,40,13.028
B19+AC0-2,,17.207,14.265,36.294,19.478,,12.713
B19+AC0-2,31.901,17.022,14.043,,19.366,36.98,12.708
B19+AC0-2,31.605,,13.95,37.035,19.284,36.986,12.818
B19+AC0-3,31.731,17.398,14.094,35.173,16.351,35.048,12.845
B19+AC0-3,31.705,16.994,13.982,34.342,16.16,35.321,12.751
B19+AC0-3,31.527,16.954,13.747,34,16.123,,12.909
B20+AC0-1,30.972,16.702,13.967,35.697,22.311,,12.441
B20+AC0-1,30.424,16.613,14.054,35.984,22.47,38.243,12.683
B20+AC0-1,30.247,16.517,13.922,34.52,22.573,37.889,12.873
B20+AC0-2,31.259,17.772,14.342,35.996,19.95,38.015,12.919
B20+AC0-2,31.735,17.332,14.234,36.359,19.984,38.53,12.968
B20+AC0-2,31.457,17.199,14.125,35.455,19.949,37.84,13.06
B20+AC0-3,29.692,17.002,14.553,35.199,23.385,37.912,13.423
B20+AC0-3,30.019,16.786,14.492,35.493,23.459,37.766,13.444
B20+AC0-3,29.368,16.606,14.392,34.326,23.309,36.426,13.697
B21+AC0-1,24.527,16.34,14.207,35.151,22.17,29.885,12.803
B21+AC0-1,24.559,15.896,14.013,34.357,21.988,29.621,12.685
B21+AC0-1,24.363,15.762,13.885,33.646,21.878,29.444,13.062
B21+AC0-2,25.235,17.234,14.672,35.764,24.269,30.688,13.396
B21+AC0-2,26.086,16.679,14.507,35.906,24.027,30.066,13.269
B21+AC0-2,,16.164,14.54,36.413,24.151,30.244,13.427
B21+AC0-3,26.935,17.905,17.69,34.591,21.049,38.476,15.07
B21+AC0-3,26.66,17.874,16.759,35.049,20.985,40,15.107
B21+AC0-3,,,,,,,
B22+AC0-1,32.206,17.293,16.356,34.871,21.633,32.159,14.293
B22+AC0-1,31.984,17.171,16.304,35.202,21.614,31.991,14.388
B22+AC0-1,,16.502,16.269,33.56,21.54,31.946,14.528
B22+AC0-2,29.435,16.936,16.213,31.7,19.72,33.433,14.17
B22+AC0-2,29.185,16.802,16.095,32.938,19.657,33.907,14.275
B22+AC0-2,28.893,16.661,16.032,31.362,19.867,34.746,14.342
B22+AC0-3,29.568,14.067,14.456,28.279,18.487,33.594,12.231
B22+AC0-3,28.422,14.006,14.233,28.033,18.361,33.277,12.229
B22+AC0-3,29.045,14.04,14.243,27.995,18.625,34.573,12.559
B23+AC0-1,29.203,14.709,14.25,33.629,21.07,25.087,12.409
B23+AC0-1,28.942,14.739,13.899,33.5,20.957,24.921,12.437
B23+AC0-1,28.611,14.513,14.076,33.895,21.274,24.948,12.543
B23+AC0-2,29.752,15.617,13.351,31.817,22.895,33.566,12.309
B23+AC0-2,29.72,15.663,13.536,31.31,22.848,33.806,12.364
B23+AC0-2,28.581,15.584,13.546,30.921,22.69,,12.736
B23+AC0-3,29.671,15.523,13.48,,20.313,33.888,12.359
B23+AC0-3,29.174,15.469,13.444,35.264,20.259,32.824,12.514
B23+AC0-3,29.029,15.434,13.622,36.325,20.17,33.574,12.85
B24+AC0-1,30.579,16.764,13.158,33.415,26.985,23.082,11.961
B24+AC0-1,30.003,16.508,13.068,33.603,26.99,23.014,11.98
B24+AC0-1,,16.555,13.161,35.673,26.444,23.534,12.047
B24+AC0-2,31.981,16.956,14.152,35.742,24.925,23.36,12.884
B24+AC0-2,32.49,16.764,14.157,34.283,24.864,23.525,13.015
B24+AC0-2,30.792,16.653,14.241,34.147,24.637,24.665,13.306
B24+AC0-3,32.786,16.091,13.257,,19.742,24.498,12.188
B24+AC0-3,32.508,15.783,13.106,35.389,19.711,24.429,12.144
B24+AC0-3,,15.714,13.098,35.349,19.531,24.994,12.42
B25+AC0-1,31.881,15.464,14.056,,25.66,29.608,12.497
B25+AC0-1,31.701,15.273,14.008,33.402,25.612,29.56,12.654
B25+AC0-1,31.225,15.496,14.155,35.855,25.502,29.993,12.886
B25+AC0-2,32.472,16.033,15.053,,26.225,28.123,13.199
B25+AC0-2,32.989,16.162,15.213,36.669,26.319,27.761,13.664
B25+AC0-2,31.045,15.98,15.061,36.485,26.137,28.372,13.672
B25+AC0-3,29.021,16.763,14.584,,23.38,30.94,13.223
B25+AC0-3,29.419,16.246,14.43,37.195,23.445,30.506,13.519
B25+AC0-3,28.834,16.287,14.536,36.944,23.261,31.167,13.862
B26+AC0-1,20.067,16.51,14.211,34.383,31.897,39.438,13.427
B26+AC0-1,19.976,16.342,14.218,34.585,31.719,39.258,13.407
B26+AC0-1,21.081,16.243,14.282,34.515,31.973,40,13.403
B26+AC0-2,18.784,16.605,14.215,37.721,24.18,31.536,13.14
B26+AC0-2,18.504,16.537,14.221,36.405,24.228,31.816,13.109
B26+AC0-2,18.25,16.478,14.269,,23.994,,13.346
B26+AC0-3,20.798,15.812,14.061,36.059,22.082,31.647,13.101
B26+AC0-3,20.104,15.855,13.983,35.49,22.3,31.624,13.036
B26+AC0-3,20.236,15.645,14,34.868,22.22,34.907,13.25
B27+AC0-1,31.405,16.907,15.715,33.176,24.515,21.911,14.05
B27+AC0-1,31.382,16.984,15.142,34.421,24.497,21.98,14.114
B27+AC0-1,29.946,16.916,15.046,32.044,24.231,22.376,14.208
B27+AC0-2,30.152,16.549,14.155,,20.993,21.169,13.007
B27+AC0-2,30.228,16.602,13.99,33.803,20.973,21.109,13.05
B27+AC0-2,28.916,16.463,14.059,34.22,20.665,21.539,13.313
B27+AC0-3,30.867,18.91,17.319,36.354,21.159,24.745,15.894
B27+AC0-3,31.024,18.441,17.246,38.669,21.081,24.735,16.039
B27+AC0-3,30.323,18.659,17.337,37.455,21.132,25.24,16.307
B28+AC0-1,26.577,14.338,15.03,32.942,19.936,20.75,12.282
B28+AC0-1,26.252,14.098,14.911,32.944,19.759,20.7,12.574
B28+AC0-1,25.822,14.037,14.966,32.219,19.799,21.227,12.469
B28+AC0-2,27.312,14.572,14.749,33.311,16.488,23.47,12.576
B28+AC0-2,27.476,14.403,14.679,,16.557,23.378,12.574
B28+AC0-2,26.471,14.299,14.842,34.136,16.451,24.043,12.867
B28+AC0-3,28.353,16.22,15.831,,20.919,23.443,13.348
B28+AC0-3,28.104,15.968,15.883,35.535,20.845,23.591,14.167
B28+AC0-3,27.597,16.164,15.977,37.139,21.042,23.851,14.214
B29+AC0-1,27.916,15.854,14.282,30.063,19.802,35.829,12.501
B29+AC0-1,27.783,15.686,14.186,29.307,19.361,,12.913
B29+AC0-1,26.596,15.891,14.405,29.543,19.864,35.928,12.747
B29+AC0-2,29.999,16.384,14.522,35.507,28.586,,12.868
B29+AC0-2,29.181,16.379,14.541,35.368,28.569,40,13.361
B29+AC0-2,29.314,16.257,14.627,,28.903,40,13.596
B29+AC0-3,32.681,17.945,16.427,36.932,26,40,14.47
B29+AC0-3,32.166,17.824,16.553,34.939,26.125,40,14.984
B29+AC0-3,31.557,17.755,16.616,35.399,26.559,40,15.508
B30+AC0-1,20.46,16.012,14.271,,21.594,25.425,12.37
B30+AC0-1,20.774,15.914,14.395,33.787,21.852,25.393,12.968
B30+AC0-1,20.698,15.984,14.624,34.708,22.238,25.952,13.389
B30+AC0-2,20.302,15.118,14.969,,17.387,26.769,12.103
B30+AC0-2,20.499,15.367,15.364,34.987,18.043,27.63,13.258
B30+AC0-2,20.235,15.233,15.253,34.248,18.078,27.675,13.606
B30+AC0-3,23.623,16.492,17.514,,21.853,30.465,14.266
B30+AC0-3,23.346,16.603,17.86,35.518,22.264,30.336,15.252
B30+AC0-3,23.222,16.576,17.7,36.776,22.35,30.711,15.659
C1+AC0-1,28.789,16.438,15.138,,20.343,37.154,13.359
C1+AC0-1,28.241,16.22,14.883,31.913,20.645,38.523,13.605
C1+AC0-1,28.38,16.099,14.935,31.98,20.283,,13.462
C1+AC0-2,31.629,17.848,15.764,35.52,24.273,38.064,13.966
C1+AC0-2,31.161,17.651,15.655,,24.317,39.979,14.337
C1+AC0-2,30.668,17.554,15.58,34.045,24.253,38.587,14.885
C1+AC0-3,30.71,15.987,15.115,29.402,21.737,35.836,13.247
C1+AC0-3,30.318,15.511,14.727,28.963,21.495,36.169,13.396
C1+AC0-3,30.59,15.459,14.833,28.874,21.552,36.686,13.482
C2+AC0-1,30.37,18.33,16.951,28.054,23.986,,14.951
C2+AC0-1,30.464,18.265,16.061,27.559,23.868,38.742,15.234
C2+AC0-1,29.983,18.047,16.003,27.415,23.925,37.79,15.786
C2+AC0-2,31.456,17.715,15.832,,26.62,39.365,13.586
C2+AC0-2,30.997,17.274,15.519,33.598,26.954,39.797,14.252
C2+AC0-2,30.916,16.869,15.307,33.439,26.336,38.066,14.75
C2+AC0-3,34.997,17.932,17.266,,24.814,,14.915
C2+AC0-3,33.497,17.34,16.802,34.881,24.543,40,15.244
C2+AC0-3,33.898,17.397,17.005,34.685,24.668,40,15.412
C3+AC0-1,22.46,16.764,14.394,35.09,23.131,27.981,11.969
C3+AC0-1,21.988,16.587,14.061,,22.981,28.4,13.087
C3+AC0-1,22.336,16.51,14.19,34.912,23.152,28.232,13.204
C3+AC0-2,32.511,17.559,16.953,28.984,17.685,34.855,12.706
C3+AC0-2,32.595,17.161,16.587,28.564,17.801,,13.449
C3+AC0-2,32.381,17.124,16.494,28.398,17.999,35.707,13.614
C3+AC0-3,32.226,16.498,13.105,33.512,17.978,36.088,12.045
C3+AC0-3,31.714,16.299,13.188,32.941,18.157,,12.161
C3+AC0-3,31.529,16.302,13.149,33.259,18.153,36.966,12.202
C4+AC0-1,29.388,16.51,15.452,35.711,19.053,26.331,14.086
C4+AC0-1,29.464,16.376,15.551,,19.231,26.423,14.037
C4+AC0-1,29.001,16.286,15.465,34.365,19.306,26.303,14.119
C4+AC0-2,25.625,15.11,14.862,,18.646,24.517,13.126
C4+AC0-2,25.435,14.861,14.653,36.696,18.867,24.431,13.412
C4+AC0-2,25.439,14.873,14.807,35.493,18.888,24.535,13.094
C4+AC0-3,28.936,15.193,13.897,33.388,18.302,26.43,12.758
C4+AC0-3,29.141,14.915,13.892,32.959,18.484,26.195,12.51
C4+AC0-3,29.115,14.828,14.074,,18.328,27.097,12.669
C5+AC0-1,24.648,17.753,15.989,34.06,29.146,,14.471
C5+AC0-1,24.708,17.232,15.742,,30.516,33.155,14.354
C5+AC0-1,24.537,17.451,15.66,35.177,30.975,35.044,14.492
C5+AC0-2,15.619,14.713,13.997,34.307,27.283,24.083,12.104
C5+AC0-2,15.356,14.445,13.833,35.003,27.976,24.031,12.087
C5+AC0-2,15.344,14.403,13.677,,27.949,24.136,12.099
C5+AC0-3,18.21,14.99,14.025,33.926,26.844,23.127,12.439
C5+AC0-3,17.85,14.685,13.964,33.223,27.047,23.065,11.985
C5+AC0-3,17.915,14.788,13.624,33.506,27.004,23.195,12.762
C6+AC0-1,30.258,17.204,13.708,31.117,20.223,40,12.384
C6+AC0-1,30.707,17.025,13.473,31.423,20.616,,12.764
C6+AC0-1,30.525,16.923,13.773,32.055,20.697,40,12.855
C6+AC0-2,28.838,17.029,14.714,33.029,21.695,40,13.174
C6+AC0-2,28.883,16.847,14.261,33.495,21.902,40,13.298
C6+AC0-2,28.44,16.721,14.264,33.232,21.814,40,13.344
C6+AC0-3,29.677,15.373,13.459,27.857,20.239,38.521,12.182
C6+AC0-3,29.604,15.011,13.389,28.034,20.247,39.746,12.33
C6+AC0-3,29.334,15.038,13.419,28.233,20.287,40,12.733
C7+AC0-1,32.875,15.586,14.862,34.558,25.162,40,13.037
C7+AC0-1,32.034,15.318,14.864,,25.58,40,12.977
C7+AC0-1,32.645,15.257,14.651,36.261,25.434,40,13.093
C7+AC0-2,33.955,17.366,15.616,36.922,27.421,40,13.502
C7+AC0-2,,17.085,14.875,,27.902,40,13.785
C7+AC0-2,33.851,17.144,14.912,38.147,27.234,40,13.974
C7+AC0-3,33.862,16.371,15.425,33.261,26.351,40,13.916
C7+AC0-3,34.41,16.261,15.455,38.894,26.47,39.995,14.142
C7+AC0-3,34.397,16.168,15.609,38.585,26.54,40,14.263
C8+AC0-1,25.221,16.384,15.174,34.167,28.074,25.021,13.519
C8+AC0-1,25.179,15.898,15.177,34.769,28.63,25.074,13.686
C8+AC0-1,25.263,15.995,15.262,,29.249,25.299,13.938
C8+AC0-2,30.916,15.921,14.374,33.751,29.968,24.456,12.824
C8+AC0-2,30.939,15.697,14.175,34.795,30.11,24.564,12.906
C8+AC0-2,30.053,15.412,14.202,35.502,30.509,24.854,13
C8+AC0-3,,,,,,,
C8+AC0-3,,,,,,,
C8+AC0-3,,,,,,,
C9+AC0-1,24.428,16.873,15.715,35.191,22.42,40,14.247
C9+AC0-1,24.324,16.361,15.751,37.443,22.864,40,14.044
C9+AC0-1,24.656,16.524,15.624,36.901,22.859,,14.389
C9+AC0-2,22.874,15.657,14.326,33.373,22.835,40,13.035
C9+AC0-2,22.915,15.16,14.344,34.914,23.182,40,12.806
C9+AC0-2,22.886,15.353,14.15,34.398,23.189,,13.09
C9+AC0-3,21.934,14.877,14.423,31.412,21.306,40,12.598
C9+AC0-3,21.394,14.336,14.121,31.945,21.603,39.469,12.691
C9+AC0-3,21.716,14.156,14.123,31.914,21.649,39.256,12.367
C10+AC0-1,27.03,17.567,15.581,,25.284,29.928,14.719
C10+AC0-1,27.054,17.166,15.67,38.624,25.489,29.052,14.151
C10+AC0-1,27.074,17.13,15.775,37.435,25.493,29.868,14.379
C10+AC0-2,20.51,14.687,13.559,33.672,22.051,25.103,12.122
C10+AC0-2,20.266,14.005,13.523,34.837,22.276,24.774,11.574
C10+AC0-2,20.284,14.009,13.489,34.925,21.723,24.977,11.725
C10+AC0-3,26.649,18.647,17.046,36.474,23.569,28.83,15.541
C10+AC0-3,26.699,17.929,16.87,,23.788,28.425,15.216
C10+AC0-3,26.633,17.946,16.707,36.924,23.866,28.529,15.193
C11+AC0-1,21.982,15.945,14.158,40,21.692,40,13.085
C11+AC0-1,21.654,15.13,14.379,40,22.038,40,12.701
C11+AC0-1,21.707,15.229,14.344,40,22.113,,12.413
C11+AC0-2,28.724,16.332,13.731,36.851,22.328,,12.577
C11+AC0-2,28.943,15.668,13.646,36.773,22.784,38.334,12.305
C11+AC0-2,28.679,15.437,13.64,,22.797,38.253,12.387
C11+AC0-3,33.169,17.926,17.589,36.436,23.295,40,15.956
C11+AC0-3,33.339,17.198,17.113,37.315,23.665,40,15.379
C11+AC0-3,33.069,17.172,17.129,,23.566,40,15.449
C12+AC0-1,24.511,18.31,14.599,35.793,23.625,28.612,13.633
C12+AC0-1,24.217,17.991,14.679,34.78,23.953,28.209,13.285
C12+AC0-1,24.106,17.915,14.625,34.793,23.854,28.665,13.541
C12+AC0-2,28.952,15.987,13.315,,23.863,28.285,12.271
C12+AC0-2,28.318,15.634,13.119,36.518,24.245,27.94,11.874
C12+AC0-2,28.614,15.616,13.122,37.384,24.274,27.7,11.944
C12+AC0-3,28.591,18.3,16.869,37.491,25.649,30.209,15.062
C12+AC0-3,28.124,17.413,15.917,37.576,25.203,30.278,14.312
C12+AC0-3,27.965,17.352,15.634,38.194,25.258,30.121,14.349
C13+AC0-1,28.075,14.973,13.487,34.474,18.855,23.225,12.384
C13+AC0-1,27.696,14.36,13.466,33.98,18.941,22.686,12.047
C13+AC0-1,27.806,14.152,13.235,34.818,18.814,22.67,11.986
C13+AC0-2,30.337,15.143,15.207,33.557,19.021,22.249,13.475
C13+AC0-2,29.438,14.48,15.156,33.614,19.061,21.946,13.208
C13+AC0-2,29.571,14.474,15.09,32.506,19.153,21.839,12.964
C13+AC0-3,28.978,14.434,12.78,33.851,20.017,25.082,11.504
C13+AC0-3,27.564,13.941,12.595,32.93,19.711,24.781,11.383
C13+AC0-3,28.101,13.842,12.942,,20.18,25.099,11.671
C14+AC0-1,29.694,15.592,14.282,31.316,20.345,31.75,12.92
C14+AC0-1,29.859,14.929,14.232,32.023,20.6,29.515,12.493
C14+AC0-1,29.689,14.914,14.222,33.1,20.656,29.94,12.505
C14+AC0-2,28.312,14.338,13.207,33.39,25.802,25.021,11.873
C14+AC0-2,28.047,14.268,13.216,34.094,25.628,24.948,11.901
C14+AC0-2,29.462,14.718,13.236,33.581,25.703,24.752,11.549
C14+AC0-3,30.81,15.148,14.296,34.836,23.895,29.032,13.048
C14+AC0-3,30.499,15.006,14.247,34.748,23.875,28.622,12.831
C14+AC0-3,31.789,15.403,14.19,36.003,23.842,28.487,12.64
C15+AC0-1,27.929,15.309,14.927,34.061,25.702,,13.182
C15+AC0-1,27.714,15.269,14.752,35.409,25.743,38.075,13.071
C15+AC0-1,28.364,15.688,14.957,36.815,25.592,37.088,12.917
C15+AC0-2,30.782,18.383,15.695,34.091,28.318,38.335,14.63
C15+AC0-2,31.121,18.282,15.677,34.646,27.622,,14.239
C15+AC0-2,32.086,18.776,15.995,33.105,27.917,37.688,14.269
C15+AC0-3,32.768,20.267,17.734,38.338,25.61,40,16.94
C15+AC0-3,33.202,19.638,17.266,36.967,25.214,40,16.412
C15+AC0-3,,20.058,17.408,,25.485,,16.275
C16+AC0-1,28.538,15.675,15.683,32.975,23.905,,13.57
C16+AC0-1,28.036,15.509,15.332,33.105,23.648,35.712,13.519
C16+AC0-1,28.426,16.125,15.563,33.648,23.963,35.874,13.339
C16+AC0-2,28.998,15.453,15.834,28.662,21.452,,13.797
C16+AC0-2,28.221,15.304,15.566,29.741,21.332,35.937,13.743
C16+AC0-2,28.895,15.541,15.536,29.622,21.478,35.116,13.586
C16+AC0-3,25.153,16.311,15.86,36.049,22.756,,14.027
C16+AC0-3,25.164,16.105,15.55,35.224,22.896,38.41,14.192
C16+AC0-3,25.144,16.448,15.769,,22.976,37.234,13.992
C17+AC0-1,31.444,17.612,17.041,35.75,24.574,39.025,15.519
C17+AC0-1,32.069,17.314,16.781,37.506,24.617,37.877,15.557
C17+AC0-1,32.652,17.652,16.927,,24.654,37.226,15.393
C17+AC0-2,30.94,16.564,14.119,,25.361,36.236,13.03
C17+AC0-2,30.985,16.372,14.128,36.17,25.106,,13.032
C17+AC0-2,31.53,16.665,14.201,35.504,25.457,35.902,12.979
C17+AC0-3,31.767,17.363,15.842,33.046,22.096,40,14.502
C17+AC0-3,31.633,17.297,15.751,32.108,22.09,39.407,14.379
C17+AC0-3,32.395,17.502,15.671,31.775,22.078,,14.27
C18+AC0-1,26.067,15.437,15.36,33.51,24.289,27.511,13.018
C18+AC0-1,25.582,15.407,14.45,33.83,23.978,27.138,12.973
C18+AC0-1,26.645,15.55,14.419,32.749,24.031,27.247,13.014
C18+AC0-2,25.516,14.743,13.519,,22.725,24.322,12.001
C18+AC0-2,25.082,14.906,13.407,34.84,22.495,24.071,12.158
C18+AC0-2,25.905,14.876,13.301,35.673,22.329,24.03,11.983
C18+AC0-3,27.662,17.172,17.256,37.361,23.637,29.074,15.057
C18+AC0-3,27.085,17.115,17.024,35.762,23.519,29.016,15.149
C18+AC0-3,28.26,17.393,17.182,,23.772,28.957,15.047
C19+AC0-1,32.891,19.171,14.962,33.94,31.133,29.173,13.727
C19+AC0-1,32.337,19.135,14.996,32.29,30.978,28.854,13.818
C19+AC0-1,33.045,19.266,14.987,33.89,32.239,29.044,13.818
C19+AC0-2,31.985,18.483,13.873,37.909,31.767,27.749,12.653
C19+AC0-2,31.861,18.389,13.593,36.463,31.199,27.538,12.951
C19+AC0-2,32.673,18.829,13.854,37.441,31.586,27.436,12.946
C19+AC0-3,31.589,18.78,15.922,,28.173,29.544,14.555
C19+AC0-3,34.625,18.54,15.821,32.86,27.888,29.506,15.042
C19+AC0-3,34.201,18.732,15.795,32.12,28.221,29.5,15.222
C20+AC0-1,,16.886,14.673,36.998,25.969,,13.044
C20+AC0-1,33.985,16.636,14.413,35.732,25.933,40,13.399
C20+AC0-1,34.511,16.798,14.478,,26.244,40,13.805
C20+AC0-2,29.198,15.826,14.957,,23.546,36.962,12.871
C20+AC0-2,28.637,15.854,14.721,37.84,23.472,36.799,13.038
C20+AC0-2,,15.551,14.507,35.074,23.602,,13.147
C20+AC0-3,29.557,15.324,13.241,35.792,26.182,36.184,11.849
C20+AC0-3,29.067,14.962,12.964,,25.895,35.755,11.633
C20+AC0-3,,15.012,13.267,34.253,26.358,,12.238
C21+AC0-1,28.537,16.482,15.589,39.179,20.858,40,13.428
C21+AC0-1,28.991,16.297,15.452,40,20.809,40,13.426
C21+AC0-1,,16.222,15.288,,21.038,40,14.081
C21+AC0-2,34.045,16.971,15.789,36.071,22.387,40,13.951
C21+AC0-2,34.794,16.99,15.451,36.645,22.306,40,13.898
C21+AC0-2,35.92,16.91,15.355,,22.577,40,14.357
C21+AC0-3,32.739,18.95,18.412,33.917,22.422,40,17.054
C21+AC0-3,32.424,18.759,18.409,32.979,22.351,40,16.997
C21+AC0-3,,18.539,18.212,32.578,22.617,40,17.634
C23+AC0-1,22.929,18.09,17.511,,24.123,28.341,15.554
C23+AC0-1,22.474,18.166,17.382,37.333,24.051,28.918,15.601
C23+AC0-1,22.973,17.873,17.341,35.671,24.404,28.809,16.162
C23+AC0-2,21.575,17.036,15.59,36.668,23.169,25.904,13.888
C23+AC0-2,21.03,16.966,15.424,35.934,23.15,25.967,13.875
C23+AC0-2,21.026,16.914,15.256,36.327,23.287,26.069,14.325
C23+AC0-3,19.209,14.673,13.622,,21.025,25.157,11.55
C23+AC0-3,18.886,14.624,13.517,35.429,20.975,25.051,11.801
C23+AC0-3,19.045,14.562,13.431,35.632,21.134,25.447,12.569
C24+AC0-1,23.775,17.083,14.418,,22.041,34.052,12.977
C24+AC0-1,23.222,16.828,14.306,36.06,21.997,32.393,12.956
C24+AC0-1,23.257,16.767,14.131,35.376,22.21,33.047,13.207
C24+AC0-2,24.384,15.781,15.9,34.589,22.979,31.302,12.995
C24+AC0-2,23.912,15.548,14.919,,22.586,32.63,12.947
C24+AC0-2,24.252,15.485,14.791,35.075,22.81,32.05,13.416
C24+AC0-3,20.745,16.679,14.471,,24.841,30.047,12.833
C24+AC0-3,20.819,16.692,14.348,36.443,24.673,29.689,12.964
C24+AC0-3,21.183,16.405,14.271,35.859,24.841,30.186,13.311
C25+AC0-1,29.039,17.644,14.992,33.423,25.502,27.869,12.816
C25+AC0-1,28.644,17.48,14.857,33.775,25.412,27.415,12.891
C25+AC0-1,,17.35,14.767,32.201,25.755,27.856,13.455
C25+AC0-2,25.948,16.654,14.86,33.154,23.526,27.278,12.752
C25+AC0-2,25.738,16.657,14.514,,23.255,27.085,12.554
C25+AC0-2,26.489,16.538,14.37,32.843,23.541,27.407,13.218
C25+AC0-3,28.015,16.984,14.56,28.644,23.895,32.404,12.407
C25+AC0-3,28.591,16.974,14.5,29.011,23.808,32.183,12.498
C25+AC0-3,,15.996,14.306,28.625,24.062,32.694,13.146
C26+AC0-1,28.989,18.685,15.425,,26.982,40,14.345
C26+AC0-1,29.312,18.572,15.436,35.829,27.046,40,14.243
C26+AC0-1,28.698,18.467,15.3,36.45,26.936,40,14.504
C26+AC0-2,22.266,16.376,15.049,34.045,23.803,38.142,13.694
C26+AC0-2,22.306,16.356,15.108,34.012,23.651,,13.659
C26+AC0-2,22.293,16.13,14.976,34.033,23.653,38.032,13.657
C26+AC0-3,22.756,16.26,14.548,33.866,25.946,38.779,13.477
C26+AC0-3,22.253,16.295,14.632,33.564,25.937,39.088,13.31
C26+AC0-3,22.534,16.203,14.649,33.227,25.806,,13.266
C27+AC0-1,21.506,15.102,13.976,,21.534,32.033,12.957
C27+AC0-1,21.53,15.117,14.075,36.971,21.416,32.052,12.658
C27+AC0-1,21.48,15.013,14.014,36.6,21.271,32.02,12.806
C27+AC0-2,31.228,15.375,14.298,32.409,21.736,24.355,12.992
C27+AC0-2,30.408,15.359,14.313,32.514,21.505,24.511,12.95
C27+AC0-2,30.531,15.212,14.21,32.751,21.536,24.558,12.871
C27+AC0-3,32.94,16.351,15.033,33.184,21.642,28.801,13.921
C27+AC0-3,33.077,16.44,15.068,32.636,21.586,29.387,13.834
C27+AC0-3,32.859,16.307,15.014,32.898,21.484,28.965,13.61
C28+AC0-1,30.882,16.231,15.232,35.945,25.674,40,14.132
C28+AC0-1,29.915,16.215,15.285,37.074,25.638,40,13.984
C28+AC0-1,29.768,16.071,15.239,,25.489,40,14.047
C28+AC0-2,26.368,15.986,14.352,39.598,27.535,40,13.269
C28+AC0-2,26.7,15.974,14.447,40,27.311,40,13.217
C28+AC0-2,26.327,15.688,14.348,,27.012,40,12.992
C28+AC0-3,26.424,15.646,14.432,35.887,23.933,,13.345
C28+AC0-3,26.711,15.568,14.468,34.702,23.776,38.449,13.117
C28+AC0-3,26.231,15.602,14.391,,23.727,36.702,13.074
C29+AC0-1,25.799,15.579,14.34,33.882,24.621,,13.572
C29+AC0-1,25.739,15.556,14.413,33.501,24.307,39.753,13.087
C29+AC0-1,25.506,15.491,14.337,33.636,24.445,40,13.11
C29+AC0-2,25.99,14.963,14.99,,24.982,37.543,13.41
C29+AC0-2,25.829,14.766,14.978,34.787,24.35,39.368,13.102
C29+AC0-2,25.609,14.932,14.983,35.929,24.516,39.111,13.245
C29+AC0-3,31.643,15.757,13.89,32.433,23.223,39.103,12.371
C29+AC0-3,30.364,15.74,13.071,33.364,23.018,39.559,12.048
C29+AC0-3,30.835,15.873,13.052,34.385,23.006,39.033,12.132
C30+AC0-1,28.654,15.755,13.74,35.509,23.587,23.01,12.628
