,A.muc,Firmicutes,Bacteroidetes,Lactobucillius,Bifido,Parab,16S
A10+AC0-3,21.702,16.326,14.256,30.272,23.765,33.381,12.92
A11+AC0-1,35.506,18.743,17.463,34.509,24.391,39.561,15.089
A11+AC0-1,34.693,18.496,16.525,35.527,23.768,40,15.053
A11+AC0-1,36.075,18.579,16.838,33.549,24.049,40,15.37
A11+AC0-2,30.482,16.621,14.81,,21.755,40,12.607
A11+AC0-2,30.78,16.168,14.809,40,21.658,40,12.604
A11+AC0-2,30.716,16.824,14.295,37.403,21.792,40,12.91
A11+AC0-3,33.738,17.563,14.464,33.138,27.886,40,12.627
A11+AC0-3,32.366,16.369,13.485,33.356,27.32,40,13.849
A11+AC0-3,34.614,18.264,14.739,34.332,28.502,40,14.387
A12+AC0-1,27.401,16.416,14.802,32.501,20.16,23.295,12.981
A12+AC0-1,26.463,15.96,13.988,31.136,19.847,23.08,12.977
A12+AC0-1,26.674,16.418,14.615,31.219,20.175,25.323,13.478
A12+AC0-2,34.708,16.473,16.979,,20.729,40,13.866
A12+AC0-2,34.005,15.809,16.254,34.386,20.476,40,14.374
A12+AC0-2,34.772,16.476,16.992,34.721,21.4,40,14.596
A12+AC0-3,32.821,15.262,15.743,35.959,21.43,,12.972
A12+AC0-3,32.362,14.68,15.437,34.614,21.311,40,13.114
A12+AC0-3,32.902,15.126,16.176,35.632,22.134,40,13.713
A13+AC0-1,29.904,16.905,14.956,34.089,25.592,40,12.955
A13+AC0-1,29.206,16.034,14.397,33.029,25.359,40,13.019
A13+AC0-1,30.135,16.465,14.682,34.44,26.097,40,13.289
A13+AC0-2,29.405,16.101,14.068,33.841,22.703,39.582,12.206
A13+AC0-2,28.453,15.392,13.398,,22.059,39.376,12.314
A13+AC0-2,28.956,15.791,13.896,33.843,22.351,40,12.539
A13+AC0-3,29.911,16.06,14.077,35.831,25.082,39.916,12.129
A13+AC0-3,28.214,14.925,13.366,34.105,24.232,39.239,12.4
A13+AC0-3,30.426,15.983,14.044,34.928,25.947,40,12.974
A14+AC0-1,31.376,18.09,15.581,35.457,22.436,24.906,14.083
A14+AC0-1,31.817,17.825,15.507,36.065,22.808,24.445,14.122
A14+AC0-1,31.851,17.785,15.365,35.733,22.932,,14.279
A14+AC0-2,31.065,16.222,15.788,35.139,19.376,23.374,13.968
A14+AC0-2,31.968,16.146,15.365,,19.84,23.581,13.968
A14+AC0-2,32.855,16.143,15.333,34.72,19.233,24.049,14.035
A14+AC0-3,31.374,18.118,15.971,34.713,24.857,26.691,14.282
A14+AC0-3,31.666,17.852,15.393,34.833,24.986,26.887,14.329
A14+AC0-3,32.069,17.996,15.661,34.52,25.126,27.796,14.567
A15+AC0-1,34.937,17.322,15.965,32.952,26.81,33.067,14.129
A15+AC0-1,35,17.16,15.572,32.065,27.197,34.377,14.438
A15+AC0-1,34.662,17.276,15.81,32.911,27.313,32.342,14.598
A15+AC0-2,32.812,17.346,17.215,32.995,27.06,31.43,14.565
A15+AC0-2,32.058,17.227,15.933,34.089,26.543,,14.683
A15+AC0-2,32.688,17.392,16.207,32.626,27.313,31.784,15.053
A15+AC0-3,33.646,17.967,16.338,33.777,27.493,33.481,14.697
A15+AC0-3,34.586,17.606,15.85,32.25,27.938,34.56,14.785
A15+AC0-3,33.721,17.357,15.872,,27.433,32.966,15.202
A16+AC0-1,28.774,14.999,14.806,35.727,19.404,21.61,12.824
A16+AC0-1,28.253,14.703,14.23,35.893,19.543,22.71,12.84
A16+AC0-1,28.312,14.677,14.475,35.445,19.301,21.908,13.287
A16+AC0-2,29.789,15.26,15.662,,18.782,22.981,12.898
A16+AC0-2,29.415,15.33,14.424,34.422,18.907,23.709,13.122
A16+AC0-2,29.11,15.287,14.892,34.218,18.811,23.118,13.409
A16+AC0-3,28.996,15.102,15.295,40,18.74,24.003,12.951
A16+AC0-3,28.357,14.885,14.971,34.965,18.577,25.341,13.023
A16+AC0-3,28.371,15.003,14.785,35.24,18.439,24.048,13.046
A17+AC0-1,29.37,16.479,13.809,30.844,24.868,40,12.614
A17+AC0-1,28.514,16.602,13.803,31.173,25.247,38.9,12.553
A17+AC0-1,,,,,,40,
A17+AC0-2,27.506,16.096,13.877,33.63,24.396,40,12.649
A17+AC0-2,27.841,16.134,13.929,33.097,24.562,39.37,12.664
A17+AC0-2,,,,,,40,
A17+AC0-3,20.8,15.912,14.12,34.005,23.33,38.969,12.67
A17+AC0-3,20.654,15.689,14.012,34.22,23.362,37.529,12.648
A17+AC0-3,,,,,23.999,40,13.037
A18+AC0-1,22.859,15.047,14.392,25.558,21,40,12.639
A18+AC0-1,23.015,15.107,14.387,26.106,21.206,40,12.382
A18+AC0-1,,,,,,40,13.158
A18+AC0-2,32.02,16.527,14.784,28.407,25.044,40,13.173
A18+AC0-2,32.43,16.416,14.599,28.83,25.089,40,13.188
A18+AC0-2,,,14.968,29.256,25.219,40,13.909
A18+AC0-3,30.176,15.86,14.747,29.964,22.335,40,12.99
A18+AC0-3,31.256,15.596,14.794,31.065,22.315,40,13.012
A18+AC0-3,,,14.989,30.857,22.78,40,
A19+AC0-1,37.274,19.427,17.113,32.637,26.896,40,16.294
A19+AC0-1,37.112,19.408,17.124,28.976,27.08,40,16.433
A19+AC0-1,,,,,,40,
A19+AC0-2,34.792,19.835,17.615,35.823,28.036,40,16.163
A19+AC0-2,38.629,19.565,17.603,35.417,28.115,38.704,16.193
A19+AC0-2,,,,,,,
A19+AC0-3,34.257,17.654,14.088,34.151,24.574,39.149,12.971
A19+AC0-3,33.282,17.631,14.04,32.28,24.802,37.435,12.901
A19+AC0-3,,16.575,14.22,33.421,24.792,38.541,13.109
A20+AC0-1,34.377,17.949,15.79,34.451,24.051,31.69,14.627
A20+AC0-1,35.65,18.083,15.914,33.354,24.467,31.116,14.595
A20+AC0-1,,17.728,15.972,33.168,24.206,32.02,14.991
A20+AC0-2,31.934,16.991,15.333,32.49,23.334,34.809,14.009
A20+AC0-2,32.299,16.883,15.241,31.274,23.372,34.476,13.919
A20+AC0-2,,,,,,,
A20+AC0-3,31.128,17.219,17.793,31.063,21.102,40,15.079
A20+AC0-3,31.49,17.219,17.121,31.116,21.094,40,15.088
A20+AC0-3,,,,,,,
A21+AC0-1,30.036,16.612,15.979,35.048,24.733,,14.215
A21+AC0-1,30.438,16.466,15.908,,24.841,39.082,14.114
A21+AC0-1,,,15.748,35.536,24.673,38.085,14.349
A21+AC0-2,28.559,15.416,14.551,37.897,21.73,39.214,12.825
A21+AC0-2,28.3,15.117,14.337,,21.511,40,12.891
A21+AC0-2,,14.639,15.607,35.317,21.91,40,13.119
A21+AC0-3,28.418,16.019,14.095,33.015,19.771,40,12.645
A21+AC0-3,28.566,15.875,13.935,,19.326,40,12.504
A21+AC0-3,,14.436,13.104,31.504,19.265,,12.247
A22+AC0-1,29.551,16.977,14.678,33.183,28.395,29.165,13.31
