Sample Name,Target Name,CT
A15-3,Firmicutes,17.606
A15-3,Bacteroidetes,15.850
A15-3,Lactobucillius,32.250
A15-3,Bifido,27.938
A15-3,Parab,34.560
A15-3,16S,14.785
A15-3,A.muc,33.721
A15-3,Firmicutes,17.357
A15-3,Bacteroidetes,15.872
A15-3,Lactobucillius,30.630
A15-3,Bifido,27.433
A15-3,Parab,32.966
A15-3,16S,15.202
A16-1,A.muc,28.774
A16-1,Firmicutes,14.999
A16-1,Bacteroidetes,14.806
A16-1,Lactobucillius,35.727
A16-1,Bifido,19.404
A16-1,Parab,21.610
A16-1,16S,12.824
A16-1,A.muc,28.253
A16-1,Firmicutes,14.703
A16-1,Bacteroidetes,14.230
A16-1,Lactobucillius,35.893
A16-1,Bifido,19.543
A16-1,Parab,22.710
A16-1,16S,12.840
A16-1,A.muc,28.312
A16-1,Firmicutes,14.677
A16-1,Bacteroidetes,14.475
A16-1,Lactobucillius,35.445
A16-1,Bifido,19.301
A16-1,Parab,21.908
A16-1,16S,13.287
A16-2,A.muc,29.789
A16-2,Firmicutes,15.260
A16-2,Bacteroidetes,15.662
A16-2,Lactobucillius,36.184
A16-2,Bifido,18.782
A16-2,Parab,22.981
A16-2,16S,12.898
A16-2,A.muc,29.415
A16-2,Firmicutes,15.330
A16-2,Bacteroidetes,14.424
A16-2,Lactobucillius,34.422
A16-2,Bifido,18.907
A16-2,Parab,23.709
A16-2,16S,13.122
A16-2,A.muc,29.110
A16-2,Firmicutes,15.287
A16-2,Bacteroidetes,14.892
A16-2,Lactobucillius,34.218
A16-2,Bifido,18.811
A16-2,Parab,23.118
A16-2,16S,13.409
A16-3,A.muc,28.996
A16-3,Firmicutes,15.102
A16-3,Bacteroidetes,15.295
A16-3,Lactobucillius,Undetermined
A16-3,Bifido,18.740
A16-3,Parab,24.003
A16-3,16S,12.951
A16-3,A.muc,28.357
A16-3,Firmicutes,14.885
A16-3,Bacteroidetes,14.971
A16-3,Lactobucillius,34.965
A16-3,Bifido,18.577
A16-3,Parab,25.341
A16-3,16S,13.023
A16-3,A.muc,28.371
A16-3,Firmicutes,15.003
A16-3,Bacteroidetes,14.785
A16-3,Lactobucillius,35.240
A16-3,Bifido,18.439
A16-3,Parab,24.048
A16-3,16S,13.046
A17-1,A.muc,29.370
A17-1,Firmicutes,16.479
A17-1,Bacteroidetes,13.809
A17-1,Lactobucillius,30.844
A17-1,Bifido,24.868
A17-1,Parab,Undetermined
A17-1,16S,12.614
A17-1,A.muc,28.514
A17-1,Firmicutes,16.602
A17-1,Bacteroidetes,13.803
A17-1,Lactobucillius,31.173
A17-1,Bifido,25.247
A17-1,Parab,38.900
A17-1,16S,12.553
A17-1,A.muc,Undetermined
A17-1,Firmicutes,21.916
A17-1,Bacteroidetes,16.513
A17-1,Lactobucillius,38.918
A17-1,Bifido,28.053
A17-1,Parab,Undetermined
A17-1,16S,14.540
A17-2,A.muc,27.506
A17-2,Firmicutes,16.096
A17-2,Bacteroidetes,13.877
A17-2,Lactobucillius,33.630
A17-2,Bifido,24.396
A17-2,Parab,Undetermined
A17-2,16S,12.649
A17-2,A.muc,27.841
A17-2,Firmicutes,16.134
A17-2,Bacteroidetes,13.929
A17-2,Lactobucillius,33.097
A17-2,Bifido,24.562
A17-2,Parab,39.370
A17-2,16S,12.664
A17-2,A.muc,Undetermined
A17-2,Firmicutes,20.508
A17-2,Bacteroidetes,20.694
A17-2,Lactobucillius,Undetermined
A17-2,Bifido,28.547
A17-2,Parab,Undetermined
A17-2,16S,16.927
A17-3,A.muc,20.800
A17-3,Firmicutes,15.912
A17-3,Bacteroidetes,14.120
A17-3,Lactobucillius,34.005
A17-3,Bifido,23.330
A17-3,Parab,38.969
A17-3,16S,12.670
A17-3,A.muc,20.654
A17-3,Firmicutes,15.689
A17-3,Bacteroidetes,14.012
A17-3,Lactobucillius,34.220
A17-3,Bifido,23.362
A17-3,Parab,37.529
A17-3,16S,12.648
A17-3,A.muc,33.096
A17-3,Firmicutes,22.781
A17-3,Bacteroidetes,16.622
A17-3,Lactobucillius,Undetermined
A17-3,Bifido,23.999
A17-3,Parab,Undetermined
A17-3,16S,13.037
A18-1,A.muc,22.859
A18-1,Firmicutes,15.047
A18-1,Bacteroidetes,14.392
A18-1,Lactobucillius,25.558
A18-1,Bifido,21.000
A18-1,Parab,Undetermined
A18-1,16S,12.639
A18-1,A.muc,23.015
A18-1,Firmicutes,15.107
A18-1,Bacteroidetes,14.387
A18-1,Lactobucillius,26.106
A18-1,Bifido,21.206
A18-1,Parab,Undetermined
A18-1,16S,12.382
A18-1,A.muc,Undetermined
A18-1,Firmicutes,24.975
A18-1,Bacteroidetes,27.598
A18-1,Lactobucillius,Undetermined
A18-1,Bifido,23.418
A18-1,Parab,Undetermined
A18-1,16S,13.158
A18-2,A.muc,32.020
A18-2,Firmicutes,16.527
A18-2,Bacteroidetes,14.784
A18-2,Lactobucillius,28.407
A18-2,Bifido,25.044
A18-2,Parab,Undetermined
A18-2,16S,13.173
A18-2,A.muc,32.430
A18-2,Firmicutes,16.416
A18-2,Bacteroidetes,14.599
A18-2,Lactobucillius,28.830
A18-2,Bifido,25.089
A18-2,Parab,Undetermined
A18-2,16S,13.188
A18-2,A.muc,37.445
A18-2,Firmicutes,18.132
A18-2,Bacteroidetes,14.968
A18-2,Lactobucillius,29.256
A18-2,Bifido,25.219
A18-2,Parab,Undetermined
A18-2,16S,13.909
A18-3,A.muc,30.176
A18-3,Firmicutes,15.860
A18-3,Bacteroidetes,14.747
A18-3,Lactobucillius,29.964
A18-3,Bifido,22.335
A18-3,Parab,Undetermined
A18-3,16S,12.990
A18-3,A.muc,31.256
A18-3,Firmicutes,15.596
A18-3,Bacteroidetes,14.794
A18-3,Lactobucillius,31.065
A18-3,Bifido,22.315
A18-3,Parab,Undetermined
A18-3,16S,13.012
A18-3,A.muc,39.747
A18-3,Firmicutes,18.301
A18-3,Bacteroidetes,14.989
A18-3,Lactobucillius,30.857
A18-3,Bifido,22.780
A18-3,Parab,Undetermined
A18-3,16S,14.752
A19-1,A.muc,37.274
A19-1,Firmicutes,19.427
A19-1,Bacteroidetes,17.113
A19-1,Lactobucillius,32.637
A19-1,Bifido,26.896
A19-1,Parab,Undetermined
A19-1,16S,16.294
A19-1,A.muc,37.112
A19-1,Firmicutes,19.408
A19-1,Bacteroidetes,17.124
A19-1,Lactobucillius,28.976
A19-1,Bifido,27.080
A19-1,Parab,Undetermined
A19-1,16S,16.433
A19-1,A.muc,Undetermined
A19-1,Firmicutes,27.819
A19-1,Bacteroidetes,25.761
A19-1,Lactobucillius,Undetermined
A19-1,Bifido,31.502
A19-1,Parab,Undetermined
A19-1,16S,25.243
A19-2,A.muc,34.792
A19-2,Firmicutes,19.835
A19-2,Bacteroidetes,17.615
A19-2,Lactobucillius,35.823
A19-2,Bifido,28.036
A19-2,Parab,Undetermined
A19-2,16S,16.163
A19-2,A.muc,38.629
A19-2,Firmicutes,19.565
A19-2,Bacteroidetes,17.603
A19-2,Lactobucillius,35.417
A19-2,Bifido,28.115
A19-2,Parab,38.704
A19-2,16S,16.193
A19-2,A.muc,Undetermined
A19-2,Firmicutes,34.389
A19-2,Bacteroidetes,Undetermined
A19-2,Lactobucillius,Undetermined
A19-2,Bifido,Undetermined
A19-2,Parab,Undetermined
A19-2,16S,Undetermined
A19-3,A.muc,34.257
A19-3,Firmicutes,17.654
A19-3,Bacteroidetes,14.088
A19-3,Lactobucillius,34.151
A19-3,Bifido,24.574
A19-3,Parab,39.149
A19-3,16S,12.971
A19-3,A.muc,33.282
A19-3,Firmicutes,17.631
A19-3,Bacteroidetes,14.040
A19-3,Lactobucillius,32.280
A19-3,Bifido,24.802
A19-3,Parab,37.435
A19-3,16S,12.901
A19-3,A.muc,Undetermined
A19-3,Firmicutes,16.575
A19-3,Bacteroidetes,14.220
A19-3,Lactobucillius,33.421
A19-3,Bifido,24.792
A19-3,Parab,38.541
A19-3,16S,13.109
A20-1,A.muc,34.377
A20-1,Firmicutes,17.949
A20-1,Bacteroidetes,15.790
A20-1,Lactobucillius,34.451
A20-1,Bifido,24.051
A20-1,Parab,31.690
A20-1,16S,14.627
A20-1,A.muc,35.650
A20-1,Firmicutes,18.083
A20-1,Bacteroidetes,15.914
A20-1,Lactobucillius,33.354
A20-1,Bifido,24.467
A20-1,Parab,31.116
A20-1,16S,14.595
A20-1,A.muc,32.898
A20-1,Firmicutes,17.728
A20-1,Bacteroidetes,15.972
A20-1,Lactobucillius,33.168
A20-1,Bifido,24.206
A20-1,Parab,32.020
A20-1,16S,14.991
A20-2,A.muc,31.934
A20-2,Firmicutes,16.991
A20-2,Bacteroidetes,15.333
A20-2,Lactobucillius,32.490
A20-2,Bifido,23.334
A20-2,Parab,34.809
A20-2,16S,14.009
A20-2,A.muc,32.299
A20-2,Firmicutes,16.883
A20-2,Bacteroidetes,15.241
A20-2,Lactobucillius,31.274
A20-2,Bifido,23.372
A20-2,Parab,34.476
A20-2,16S,13.919
A20-2,A.muc,33.565
A20-2,Firmicutes,18.600
A20-2,Bacteroidetes,17.534
A20-2,Lactobucillius,35.101
A20-2,Bifido,24.431
A20-2,Parab,Undetermined
A20-2,16S,17.464
A20-3,A.muc,31.128
A20-3,Firmicutes,17.219
A20-3,Bacteroidetes,17.793
A20-3,Lactobucillius,31.063
A20-3,Bifido,21.102
A20-3,Parab,Undetermined
A20-3,16S,15.079
A20-3,A.muc,31.490
A20-3,Firmicutes,17.219
A20-3,Bacteroidetes,17.121
A20-3,Lactobucillius,31.116
A20-3,Bifido,21.094
A20-3,Parab,Undetermined
A20-3,16S,15.088
A20-3,A.muc,Undetermined
A20-3,Firmicutes,Undetermined
A20-3,Bacteroidetes,32.694
A20-3,Lactobucillius,Undetermined
A20-3,Bifido,36.454
A20-3,Parab,Undetermined
A20-3,16S,24.991
A21-1,A.muc,30.036
A21-1,Firmicutes,16.612
A21-1,Bacteroidetes,15.979
A21-1,Lactobucillius,35.048
A21-1,Bifido,24.733
A21-1,Parab,33.742
A21-1,16S,14.215
A21-1,A.muc,30.438
A21-1,Firmicutes,16.466
A21-1,Bacteroidetes,15.908
A21-1,Lactobucillius,32.436
A21-1,Bifido,24.841
A21-1,Parab,39.082
A21-1,16S,14.114
A21-1,A.muc,25.532
A21-1,Firmicutes,15.629
A21-1,Bacteroidetes,15.748
A21-1,Lactobucillius,35.536
A21-1,Bifido,24.673
A21-1,Parab,38.085
A21-1,16S,14.349
A21-2,A.muc,28.559
A21-2,Firmicutes,15.416
A21-2,Bacteroidetes,14.551
A21-2,Lactobucillius,37.897
A21-2,Bifido,21.730
A21-2,Parab,39.214
A21-2,16S,12.825
A21-2,A.muc,28.300
A21-2,Firmicutes,15.117
A21-2,Bacteroidetes,14.337
A21-2,Lactobucillius,32.959
A21-2,Bifido,21.511
A21-2,Parab,Undetermined
A21-2,16S,12.891
A21-2,A.muc,26.210
A21-2,Firmicutes,14.639
A21-2,Bacteroidetes,15.607
A21-2,Lactobucillius,35.317
A21-2,Bifido,21.910
A21-2,Parab,Undetermined
A21-2,16S,13.119
A21-3,A.muc,28.418
A21-3,Firmicutes,16.019
A21-3,Bacteroidetes,14.095
A21-3,Lactobucillius,33.015
A21-3,Bifido,19.771
A21-3,Parab,Undetermined
A21-3,16S,12.645
A21-3,A.muc,28.566
A21-3,Firmicutes,15.875
A21-3,Bacteroidetes,13.935
A21-3,Lactobucillius,28.785
A21-3,Bifido,19.326
A21-3,Parab,Undetermined
A21-3,16S,12.504
A21-3,A.muc,24.444
A21-3,Firmicutes,14.436
A21-3,Bacteroidetes,13.104
A21-3,Lactobucillius,31.504
A21-3,Bifido,19.265
A21-3,Parab,33.468
A21-3,16S,12.247
A22-1,A.muc,29.551
A22-1,Firmicutes,16.977
A22-1,Bacteroidetes,14.678
A22-1,Lactobucillius,33.183
A22-1,Bifido,28.395
A22-1,Parab,29.165
A22-1,16S,13.310
A22-1,A.muc,30.084
A22-1,Firmicutes,16.571
A22-1,Bacteroidetes,14.562
A22-1,Lactobucillius,31.235
A22-1,Bifido,28.230
A22-1,Parab,28.706
A22-1,16S,13.176
A22-1,A.muc,25.461
A22-1,Firmicutes,15.238
A22-1,Bacteroidetes,14.006
A22-1,Lactobucillius,30.860
A22-1,Bifido,26.754
A22-1,Parab,28.640
A22-1,16S,12.743
A22-2,A.muc,30.140
A22-2,Firmicutes,16.811
A22-2,Bacteroidetes,15.103
A22-2,Lactobucillius,31.343
A22-2,Bifido,26.967
A22-2,Parab,26.711
A22-2,16S,14.106
A22-2,A.muc,30.049
A22-2,Firmicutes,16.661
A22-2,Bacteroidetes,15.307
A22-2,Lactobucillius,31.756
A22-2,Bifido,26.311
A22-2,Parab,26.555
A22-2,16S,14.143
A22-2,A.muc,30.102
A22-2,Firmicutes,16.505
A22-2,Bacteroidetes,15.310
A22-2,Lactobucillius,32.629
A22-2,Bifido,26.543
A22-2,Parab,26.945
A22-2,16S,14.306
A22-3,A.muc,24.712
A22-3,Firmicutes,15.493
A22-3,Bacteroidetes,14.198
A22-3,Lactobucillius,33.766
A22-3,Bifido,23.686
A22-3,Parab,21.109
A22-3,16S,13.029
A22-3,A.muc,24.880
A22-3,Firmicutes,15.622
A22-3,Bacteroidetes,14.855
A22-3,Lactobucillius,34.571
A22-3,Bifido,23.622
A22-3,Parab,21.422
A22-3,16S,13.088
A22-3,A.muc,24.595
A22-3,Firmicutes,15.331
A22-3,Bacteroidetes,14.526
A22-3,Lactobucillius,32.613
A22-3,Bifido,23.532
A22-3,Parab,21.379
A22-3,16S,12.960
A23-1,A.muc,30.655
A23-1,Firmicutes,15.484
A23-1,Bacteroidetes,13.882
A23-1,Lactobucillius,36.840
A23-1,Bifido,20.353
A23-1,Parab,25.396
A23-1,16S,12.851
A23-1,A.muc,31.118
A23-1,Firmicutes,15.606
A23-1,Bacteroidetes,14.214
A23-1,Lactobucillius,34.629
A23-1,Bifido,20.052
A23-1,Parab,25.994
A23-1,16S,12.971
A23-1,A.muc,31.098
A23-1,Firmicutes,15.404
A23-1,Bacteroidetes,14.135
A23-1,Lactobucillius,34.991
A23-1,Bifido,20.051
A23-1,Parab,25.920
A23-1,16S,12.706
A23-2,A.muc,30.608
A23-2,Firmicutes,15.728
A23-2,Bacteroidetes,14.344
A23-2,Lactobucillius,35.630
A23-2,Bifido,19.346
A23-2,Parab,26.273
A23-2,16S,13.027
A23-2,A.muc,30.580
A23-2,Firmicutes,15.975
A23-2,Bacteroidetes,14.955
A23-2,Lactobucillius,35.451
A23-2,Bifido,19.653
A23-2,Parab,27.086
A23-2,16S,13.100
A23-2,A.muc,29.884
A23-2,Firmicutes,15.265
A23-2,Bacteroidetes,14.715
A23-2,Lactobucillius,36.644
A23-2,Bifido,18.969
A23-2,Parab,27.386
A23-2,16S,13.039
A23-3,A.muc,30.303
A23-3,Firmicutes,15.847
A23-3,Bacteroidetes,15.028
A23-3,Lactobucillius,31.806
A23-3,Bifido,18.396
A23-3,Parab,26.493
A23-3,16S,13.119
A23-3,A.muc,31.042
A23-3,Firmicutes,15.483
A23-3,Bacteroidetes,15.098
A23-3,Lactobucillius,32.019
A23-3,Bifido,18.172
A23-3,Parab,26.968
A23-3,16S,13.346
A23-3,A.muc,29.702
A23-3,Firmicutes,14.926
A23-3,Bacteroidetes,14.802
A23-3,Lactobucillius,32.593
A23-3,Bifido,17.893
A23-3,Parab,26.586
A23-3,16S,13.030
A24-1,A.muc,32.536
A24-1,Firmicutes,18.311
A24-1,Bacteroidetes,14.592
A24-1,Lactobucillius,33.359
A24-1,Bifido,24.056
A24-1,Parab,32.816
A24-1,16S,13.416
A24-1,A.muc,33.346
A24-1,Firmicutes,17.894
A24-1,Bacteroidetes,14.708
A24-1,Lactobucillius,33.517
A24-1,Bifido,23.609
A24-1,Parab,32.204
A24-1,16S,13.574
A24-1,A.muc,32.543
A24-1,Firmicutes,17.418
A24-1,Bacteroidetes,14.414
A24-1,Lactobucillius,33.179
A24-1,Bifido,23.454
A24-1,Parab,32.006
A24-1,16S,13.256
A24-2,A.muc,28.070
A24-2,Firmicutes,16.887
A24-2,Bacteroidetes,14.909
A24-2,Lactobucillius,32.517
A24-2,Bifido,25.500
A24-2,Parab,27.117
A24-2,16S,13.847
A24-2,A.muc,28.089
A24-2,Firmicutes,16.924
A24-2,Bacteroidetes,15.167
A24-2,Lactobucillius,32.736
A24-2,Bifido,25.110
A24-2,Parab,27.020
A24-2,16S,13.930
A24-2,A.muc,27.435
A24-2,Firmicutes,16.661
A24-2,Bacteroidetes,14.523
A24-2,Lactobucillius,32.807
A24-2,Bifido,24.695
A24-2,Parab,26.532
A24-2,16S,13.330
A24-3,A.muc,28.434
A24-3,Firmicutes,16.566
A24-3,Bacteroidetes,14.737
A24-3,Lactobucillius,32.675
A24-3,Bifido,23.208
A24-3,Parab,26.930
A24-3,16S,13.410
A24-3,A.muc,28.850
A24-3,Firmicutes,16.270
A24-3,Bacteroidetes,14.615
A24-3,Lactobucillius,31.665
A24-3,Bifido,23.216
A24-3,Parab,26.467
A24-3,16S,13.300
A24-3,A.muc,28.310
A24-3,Firmicutes,16.193
A24-3,Bacteroidetes,14.491
A24-3,Lactobucillius,32.990
A24-3,Bifido,22.914
A24-3,Parab,26.165
A24-3,16S,13.053
A25-1,A.muc,27.342
A25-1,Firmicutes,16.181
A25-1,Bacteroidetes,14.032
A25-1,Lactobucillius,32.565
A25-1,Bifido,22.087
A25-1,Parab,28.254
A25-1,16S,12.750
A25-1,A.muc,27.986
A25-1,Firmicutes,16.292
A25-1,Bacteroidetes,13.985
A25-1,Lactobucillius,33.722
A25-1,Bifido,22.125
A25-1,Parab,28.399
A25-1,16S,12.836
A25-1,A.muc,26.996
A25-1,Firmicutes,16.027
A25-1,Bacteroidetes,13.749
A25-1,Lactobucillius,33.669
A25-1,Bifido,21.836
A25-1,Parab,28.047
A25-1,16S,12.734
A25-2,A.muc,27.906
A25-2,Firmicutes,16.977
A25-2,Bacteroidetes,14.341
A25-2,Lactobucillius,33.950
A25-2,Bifido,22.915
A25-2,Parab,26.203
A25-2,16S,13.182
A25-2,A.muc,28.160
A25-2,Firmicutes,16.720
A25-2,Bacteroidetes,14.329
A25-2,Lactobucillius,35.066
A25-2,Bifido,22.868
A25-2,Parab,26.557
A25-2,16S,13.159
A25-2,A.muc,27.090
A25-2,Firmicutes,16.523
A25-2,Bacteroidetes,14.162
A25-2,Lactobucillius,34.595
A25-2,Bifido,22.576
A25-2,Parab,26.532
A25-2,16S,13.087
A25-3,A.muc,28.605
A25-3,Firmicutes,18.122
A25-3,Bacteroidetes,14.885
A25-3,Lactobucillius,32.260
A25-3,Bifido,23.825
A25-3,Parab,27.346
A25-3,16S,13.509
A25-3,A.muc,29.226
A25-3,Firmicutes,18.096
A25-3,Bacteroidetes,14.902
A25-3,Lactobucillius,33.090
A25-3,Bifido,23.921
A25-3,Parab,27.598
A25-3,16S,13.653
A25-3,A.muc,28.129
A25-3,Firmicutes,17.597
A25-3,Bacteroidetes,14.330
A25-3,Lactobucillius,32.816
A25-3,Bifido,23.459
A25-3,Parab,27.068
A25-3,16S,13.296
A26-1,A.muc,30.745
A26-1,Firmicutes,16.960
A26-1,Bacteroidetes,16.017
A26-1,Lactobucillius,35.118
A26-1,Bifido,22.674
A26-1,Parab,Undetermined
A26-1,16S,13.946
A26-1,A.muc,32.103
A26-1,Firmicutes,17.075
A26-1,Bacteroidetes,15.192
A26-1,Lactobucillius,Undetermined
A26-1,Bifido,22.345
A26-1,Parab,Undetermined
A26-1,16S,13.876
A26-1,A.muc,30.528
A26-1,Firmicutes,16.712
A26-1,Bacteroidetes,14.906
A26-1,Lactobucillius,34.541
A26-1,Bifido,22.049
A26-1,Parab,Undetermined
A26-1,16S,13.764
A26-2,A.muc,20.965
A26-2,Firmicutes,32.340
A26-2,Bacteroidetes,13.985
A26-2,Lactobucillius,33.240
A26-2,Bifido,20.044
A26-2,Parab,Undetermined
A26-2,16S,12.989
A26-2,A.muc,20.983
A26-2,Firmicutes,16.552
A26-2,Bacteroidetes,13.990
A26-2,Lactobucillius,33.585
A26-2,Bifido,19.865
A26-2,Parab,Undetermined
A26-2,16S,12.806
A26-2,A.muc,20.867
A26-2,Firmicutes,16.328
A26-2,Bacteroidetes,14.011
A26-2,Lactobucillius,33.088
A26-2,Bifido,19.987
A26-2,Parab,Undetermined
A26-2,16S,12.802
A26-3,A.muc,27.548
A26-3,Firmicutes,17.350
A26-3,Bacteroidetes,15.211
A26-3,Lactobucillius,35.421
A26-3,Bifido,20.730
A26-3,Parab,Undetermined
A26-3,16S,13.386
A26-3,A.muc,27.577
A26-3,Firmicutes,17.025
A26-3,Bacteroidetes,14.778
A26-3,Lactobucillius,35.273
A26-3,Bifido,20.337
A26-3,Parab,Undetermined
A26-3,16S,13.208
A26-3,A.muc,27.088
A26-3,Firmicutes,16.727
A26-3,Bacteroidetes,14.622
A26-3,Lactobucillius,33.134
A26-3,Bifido,20.453
A26-3,Parab,Undetermined
A26-3,16S,13.187
A27-1,A.muc,22.797
A27-1,Firmicutes,15.976
A27-1,Bacteroidetes,14.954
A27-1,Lactobucillius,30.641
A27-1,Bifido,19.072
A27-1,Parab,Undetermined
A27-1,16S,13.035
A27-1,A.muc,22.985
A27-1,Firmicutes,15.984
A27-1,Bacteroidetes,14.353
A27-1,Lactobucillius,30.696
A27-1,Bifido,18.870
A27-1,Parab,Undetermined
A27-1,16S,12.929
A27-1,A.muc,22.593
A27-1,Firmicutes,15.940
A27-1,Bacteroidetes,14.161
A27-1,Lactobucillius,29.989
A27-1,Bifido,18.923
A27-1,Parab,Undetermined
A27-1,16S,12.819
A27-2,A.muc,21.431
A27-2,Firmicutes,16.532
A27-2,Bacteroidetes,15.112
A27-2,Lactobucillius,31.872
A27-2,Bifido,19.887
A27-2,Parab,Undetermined
A27-2,16S,13.551
A27-2,A.muc,21.638
A27-2,Firmicutes,16.177
A27-2,Bacteroidetes,15.106
A27-2,Lactobucillius,31.731
A27-2,Bifido,19.603
A27-2,Parab,Undetermined
A27-2,16S,13.243
A27-2,A.muc,21.317
A27-2,Firmicutes,16.479
A27-2,Bacteroidetes,14.870
A27-2,Lactobucillius,32.496
A27-2,Bifido,19.667
A27-2,Parab,Undetermined
A27-2,16S,13.168
A27-3,A.muc,22.293
A27-3,Firmicutes,15.479
A27-3,Bacteroidetes,13.914
A27-3,Lactobucillius,30.946
A27-3,Bifido,17.664
A27-3,Parab,Undetermined
A27-3,16S,12.575
A27-3,A.muc,22.509
A27-3,Firmicutes,18.311
A27-3,Bacteroidetes,Undetermined
A27-3,Lactobucillius,Undetermined
A27-3,Bifido,31.053
A27-3,Parab,Undetermined
A27-3,16S,12.979
A27-3,A.muc,22.679
A27-3,Firmicutes,17.011
A27-3,Bacteroidetes,18.498
A27-3,Lactobucillius,37.572
A27-3,Bifido,23.586
A27-3,Parab,Undetermined
A27-3,16S,12.721
A28-1,A.muc,29.429
A28-1,Firmicutes,14.318
A28-1,Bacteroidetes,14.152
A28-1,Lactobucillius,37.451
A28-1,Bifido,23.830
A28-1,Parab,23.754
A28-1,16S,12.429
A28-1,A.muc,30.335
A28-1,Firmicutes,17.736
A28-1,Bacteroidetes,Undetermined
A28-1,Lactobucillius,Undetermined
A28-1,Bifido,Undetermined
A28-1,Parab,27.265
A28-1,16S,12.812
A28-1,A.muc,30.516
A28-1,Firmicutes,18.617
A28-1,Bacteroidetes,Undetermined
A28-1,Lactobucillius,Undetermined
A28-1,Bifido,Undetermined
A28-1,Parab,24.964
A28-1,16S,12.829
A28-2,A.muc,32.021
A28-2,Firmicutes,15.895
A28-2,Bacteroidetes,16.126
A28-2,Lactobucillius,35.996
A28-2,Bifido,22.903
A28-2,Parab,24.074
A28-2,16S,13.157
A28-2,A.muc,33.254
A28-2,Firmicutes,15.585
A28-2,Bacteroidetes,15.513
A28-2,Lactobucillius,35.376
A28-2,Bifido,24.414
A28-2,Parab,24.960
A28-2,16S,13.666
A28-2,A.muc,32.629
A28-2,Firmicutes,15.118
A28-2,Bacteroidetes,14.198
A28-2,Lactobucillius,34.101
A28-2,Bifido,21.765
A28-2,Parab,24.063
A28-2,16S,13.239
A28-3,A.muc,38.690
A28-3,Firmicutes,35.770
A28-3,Bacteroidetes,36.981
A28-3,Lactobucillius,Undetermined
A28-3,Bifido,22.296
A28-3,Parab,22.977
A28-3,16S,13.132
A28-3,A.muc,36.091
A28-3,Firmicutes,20.560
A28-3,Bacteroidetes,Undetermined
A28-3,Lactobucillius,Undetermined
A28-3,Bifido,Undetermined
A28-3,Parab,Undetermined
A28-3,16S,21.709
A28-3,A.muc,32.947
A28-3,Firmicutes,15.239
A28-3,Bacteroidetes,14.473
A28-3,Lactobucillius,32.535
A28-3,Bifido,21.093
A28-3,Parab,23.468
A28-3,16S,13.131
A29-1,A.muc,31.003
A29-1,Firmicutes,17.958
A29-1,Bacteroidetes,20.293
A29-1,Lactobucillius,Undetermined
A29-1,Bifido,28.439
A29-1,Parab,Undetermined
A29-1,16S,13.952
A29-1,A.muc,31.114
A29-1,Firmicutes,15.771
A29-1,Bacteroidetes,14.288
A29-1,Lactobucillius,34.548
A29-1,Bifido,22.131
A29-1,Parab,36.715
A29-1,16S,12.987
A29-1,A.muc,30.868
A29-1,Firmicutes,15.244
A29-1,Bacteroidetes,13.698
A29-1,Lactobucillius,33.050
A29-1,Bifido,21.358
A29-1,Parab,33.941
A29-1,16S,12.935
A29-2,A.muc,31.645
A29-2,Firmicutes,32.986
A29-2,Bacteroidetes,Undetermined
A29-2,Lactobucillius,Undetermined
A29-2,Bifido,Undetermined
A29-2,Parab,Undetermined
A29-2,16S,19.854
A29-2,A.muc,32.715
A29-2,Firmicutes,16.343
A29-2,Bacteroidetes,15.916
A29-2,Lactobucillius,Undetermined
A29-2,Bifido,24.894
A29-2,Parab,Undetermined
A29-2,16S,13.768
A29-2,A.muc,31.687
A29-2,Firmicutes,15.914
A29-2,Bacteroidetes,13.982
A29-2,Lactobucillius,32.668
A29-2,Bifido,20.263
A29-2,Parab,34.041
A29-2,16S,12.902
A29-3,A.muc,31.665
A29-3,Firmicutes,17.427
A29-3,Bacteroidetes,18.888
A29-3,Lactobucillius,7.319
A29-3,Bifido,24.813
A29-3,Parab,39.640
A29-3,16S,13.059
A29-3,A.muc,31.790
A29-3,Firmicutes,15.818
A29-3,Bacteroidetes,14.187
A29-3,Lactobucillius,33.821
A29-3,Bifido,19.636
A29-3,Parab,34.088
A29-3,16S,12.968
A29-3,A.muc,31.560
A29-3,Firmicutes,15.350
A29-3,Bacteroidetes,13.651
A29-3,Lactobucillius,32.564
A29-3,Bifido,19.270
A29-3,Parab,32.991
A29-3,16S,12.849
A30-1,A.muc,27.559
A30-1,Firmicutes,34.755
A30-1,Bacteroidetes,Undetermined
A30-1,Lactobucillius,Undetermined
A30-1,Bifido,37.476
A30-1,Parab,27.964
A30-1,16S,13.059
A30-1,A.muc,27.136
A30-1,Firmicutes,14.893
A30-1,Bacteroidetes,13.895
A30-1,Lactobucillius,33.663
A30-1,Bifido,24.803
A30-1,Parab,21.681
A30-1,16S,12.438
A30-1,A.muc,26.980
A30-1,Firmicutes,14.453
A30-1,Bacteroidetes,13.548
A30-1,Lactobucillius,31.991
A30-1,Bifido,24.088
A30-1,Parab,21.490
A30-1,16S,12.236
A30-2,A.muc,32.414
A30-2,Firmicutes,16.973
A30-2,Bacteroidetes,18.513
A30-2,Lactobucillius,Undetermined
A30-2,Bifido,30.344
A30-2,Parab,35.751
A30-2,16S,13.530
A30-2,A.muc,30.705
A30-2,Firmicutes,15.520
A30-2,Bacteroidetes,13.198
A30-2,Lactobucillius,32.810
A30-2,Bifido,24.465
A30-2,Parab,28.666
