Sample Name,Target Name,CT
A4-2,Bacteroidetes,14.838
A4-2,Lactobucillius,35.015
A4-2,Bifido,26.913
A4-2,Parab,Undetermined
A4-2,16S,12.941
A4-2,A.muc,31.767
A4-2,Firmicutes,15.457
A4-2,Bacteroidetes,14.006
A4-2,Lactobucillius,33.737
A4-2,Bifido,24.200
A4-2,Parab,Undetermined
A4-2,16S,12.962
A4-2,A.muc,32.728
A4-2,Firmicutes,16.098
A4-2,Bacteroidetes,14.597
A4-2,Lactobucillius,34.156
A4-2,Bifido,25.467
A4-2,Parab,Undetermined
A4-2,16S,12.890
A4-3,A.muc,29.840
A4-3,Firmicutes,16.262
A4-3,Bacteroidetes,15.538
A4-3,Lactobucillius,32.179
A4-3,Bifido,22.129
A4-3,Parab,Undetermined
A4-3,16S,12.960
A4-3,A.muc,27.562
A4-3,Firmicutes,15.037
A4-3,Bacteroidetes,13.989
A4-3,Lactobucillius,31.648
A4-3,Bifido,19.342
A4-3,Parab,34.430
A4-3,16S,13.706
A4-3,A.muc,29.982
A4-3,Firmicutes,16.598
A4-3,Bacteroidetes,15.257
A4-3,Lactobucillius,33.451
A4-3,Bifido,21.301
A4-3,Parab,36.437
A4-3,16S,13.398
A5-1,A.muc,28.921
A5-1,Firmicutes,16.717
A5-1,Bacteroidetes,14.423
A5-1,Lactobucillius,36.277
A5-1,Bifido,24.162
A5-1,Parab,32.528
A5-1,16S,12.840
A5-1,A.muc,26.974
A5-1,Firmicutes,15.314
A5-1,Bacteroidetes,13.586
A5-1,Lactobucillius,35.574
A5-1,Bifido,20.894
A5-1,Parab,30.921
A5-1,16S,13.980
A5-1,A.muc,29.030
A5-1,Firmicutes,17.092
A5-1,Bacteroidetes,15.204
A5-1,Lactobucillius,Undetermined
A5-1,Bifido,23.107
A5-1,Parab,30.748
A5-1,16S,13.908
A5-2,A.muc,35.012
A5-2,Firmicutes,15.980
A5-2,Bacteroidetes,15.627
A5-2,Lactobucillius,Undetermined
A5-2,Bifido,27.530
A5-2,Parab,35.147
A5-2,16S,13.997
A5-2,A.muc,33.483
A5-2,Firmicutes,15.973
A5-2,Bacteroidetes,15.032
A5-2,Lactobucillius,37.751
A5-2,Bifido,23.642
A5-2,Parab,32.278
A5-2,16S,14.044
A5-2,A.muc,33.919
A5-2,Firmicutes,16.572
A5-2,Bacteroidetes,16.101
A5-2,Lactobucillius,Undetermined
A5-2,Bifido,24.469
A5-2,Parab,33.072
A5-2,16S,14.276
A5-3,A.muc,35.915
A5-3,Firmicutes,19.303
A5-3,Bacteroidetes,18.047
A5-3,Lactobucillius,36.659
A5-3,Bifido,23.027
A5-3,Parab,33.502
A5-3,16S,16.973
A5-3,A.muc,37.694
A5-3,Firmicutes,20.425
A5-3,Bacteroidetes,19.048
A5-3,Lactobucillius,Undetermined
A5-3,Bifido,22.429
A5-3,Parab,30.959
A5-3,16S,16.307
A5-3,A.muc,36.362
A5-3,Firmicutes,19.297
A5-3,Bacteroidetes,17.846
A5-3,Lactobucillius,Undetermined
A5-3,Bifido,20.961
A5-3,Parab,30.854
A5-3,16S,16.886
A6-1,A.muc,26.472
A6-1,Firmicutes,15.082
A6-1,Bacteroidetes,14.496
A6-1,Lactobucillius,27.918
A6-1,Bifido,21.914
A6-1,Parab,26.336
A6-1,16S,12.953
A6-1,A.muc,27.003
A6-1,Firmicutes,15.111
A6-1,Bacteroidetes,14.555
A6-1,Lactobucillius,27.201
A6-1,Bifido,19.584
A6-1,Parab,24.257
A6-1,16S,13.094
A6-1,A.muc,26.295
A6-1,Firmicutes,15.659
A6-1,Bacteroidetes,14.589
A6-1,Lactobucillius,28.367
A6-1,Bifido,19.939
A6-1,Parab,24.314
A6-1,16S,12.898
A6-2,A.muc,27.998
A6-2,Firmicutes,15.831
A6-2,Bacteroidetes,15.396
A6-2,Lactobucillius,35.015
A6-2,Bifido,21.812
A6-2,Parab,27.856
A6-2,16S,13.747
A6-2,A.muc,27.416
A6-2,Firmicutes,15.775
A6-2,Bacteroidetes,15.586
A6-2,Lactobucillius,35.676
A6-2,Bifido,21.492
A6-2,Parab,27.715
A6-2,16S,13.956
A6-2,A.muc,27.580
A6-2,Firmicutes,15.994
A6-2,Bacteroidetes,15.535
A6-2,Lactobucillius,34.213
A6-2,Bifido,21.936
A6-2,Parab,28.269
A6-2,16S,14.761
A6-3,A.muc,29.723
A6-3,Firmicutes,16.214
A6-3,Bacteroidetes,15.385
A6-3,Lactobucillius,36.532
A6-3,Bifido,19.943
A6-3,Parab,25.507
A6-3,16S,13.201
A6-3,A.muc,28.114
A6-3,Firmicutes,15.493
A6-3,Bacteroidetes,14.732
A6-3,Lactobucillius,37.187
A6-3,Bifido,19.655
A6-3,Parab,25.034
A6-3,16S,13.056
A6-3,A.muc,28.351
A6-3,Firmicutes,16.065
A6-3,Bacteroidetes,15.329
A6-3,Lactobucillius,35.585
A6-3,Bifido,20.268
A6-3,Parab,26.316
A6-3,16S,13.952
A7-1,A.muc,29.909
A7-1,Firmicutes,15.922
A7-1,Bacteroidetes,15.170
A7-1,Lactobucillius,36.413
A7-1,Bifido,25.857
A7-1,Parab,Undetermined
A7-1,16S,13.039
A7-1,A.muc,29.209
A7-1,Firmicutes,15.451
A7-1,Bacteroidetes,14.566
A7-1,Lactobucillius,34.955
A7-1,Bifido,25.862
A7-1,Parab,39.334
A7-1,16S,13.911
A7-1,A.muc,29.299
A7-1,Firmicutes,16.046
A7-1,Bacteroidetes,15.285
A7-1,Lactobucillius,35.598
A7-1,Bifido,26.116
A7-1,Parab,39.811
A7-1,16S,13.715
A7-2,A.muc,27.407
A7-2,Firmicutes,15.435
A7-2,Bacteroidetes,14.286
A7-2,Lactobucillius,34.730
A7-2,Bifido,22.545
A7-2,Parab,39.125
A7-2,16S,12.118
A7-2,A.muc,26.142
A7-2,Firmicutes,14.375
A7-2,Bacteroidetes,13.459
A7-2,Lactobucillius,34.579
A7-2,Bifido,21.827
A7-2,Parab,38.561
A7-2,16S,12.451
A7-2,A.muc,27.061
A7-2,Firmicutes,15.408
A7-2,Bacteroidetes,15.097
A7-2,Lactobucillius,33.469
A7-2,Bifido,22.719
A7-2,Parab,Undetermined
A7-2,16S,12.779
A7-3,A.muc,24.429
A7-3,Firmicutes,16.864
A7-3,Bacteroidetes,14.685
A7-3,Lactobucillius,36.141
A7-3,Bifido,22.931
A7-3,Parab,Undetermined
A7-3,16S,12.566
A7-3,A.muc,23.417
A7-3,Firmicutes,15.381
A7-3,Bacteroidetes,13.400
A7-3,Lactobucillius,35.175
A7-3,Bifido,21.852
A7-3,Parab,Undetermined
A7-3,16S,13.112
A7-3,A.muc,24.329
A7-3,Firmicutes,16.976
A7-3,Bacteroidetes,14.680
A7-3,Lactobucillius,36.540
A7-3,Bifido,23.527
A7-3,Parab,39.192
A7-3,16S,13.104
A8-1,A.muc,31.352
A8-1,Firmicutes,15.508
A8-1,Bacteroidetes,13.989
A8-1,Lactobucillius,31.501
A8-1,Bifido,20.458
A8-1,Parab,26.276
A8-1,16S,11.979
A8-1,A.muc,30.305
A8-1,Firmicutes,14.503
A8-1,Bacteroidetes,13.337
A8-1,Lactobucillius,30.500
A8-1,Bifido,19.408
A8-1,Parab,26.823
A8-1,16S,12.245
A8-1,A.muc,29.613
A8-1,Firmicutes,15.441
A8-1,Bacteroidetes,13.870
A8-1,Lactobucillius,30.512
A8-1,Bifido,20.641
A8-1,Parab,26.394
A8-1,16S,12.220
A8-2,A.muc,32.849
A8-2,Firmicutes,17.027
A8-2,Bacteroidetes,14.910
A8-2,Lactobucillius,Undetermined
A8-2,Bifido,18.374
A8-2,Parab,31.069
A8-2,16S,13.433
A8-2,A.muc,31.492
A8-2,Firmicutes,16.848
A8-2,Bacteroidetes,15.426
A8-2,Lactobucillius,36.815
A8-2,Bifido,18.842
A8-2,Parab,31.889
A8-2,16S,13.618
A8-2,A.muc,32.347
A8-2,Firmicutes,16.924
A8-2,Bacteroidetes,14.650
A8-2,Lactobucillius,36.887
A8-2,Bifido,18.756
A8-2,Parab,31.450
A8-2,16S,13.565
A8-3,A.muc,32.161
A8-3,Firmicutes,18.195
A8-3,Bacteroidetes,16.057
A8-3,Lactobucillius,37.153
A8-3,Bifido,23.346
A8-3,Parab,30.737
A8-3,16S,14.273
A8-3,A.muc,30.516
A8-3,Firmicutes,17.955
A8-3,Bacteroidetes,15.878
A8-3,Lactobucillius,34.954
A8-3,Bifido,23.762
A8-3,Parab,30.958
A8-3,16S,14.473
A8-3,A.muc,30.438
A8-3,Firmicutes,18.057
A8-3,Bacteroidetes,16.123
A8-3,Lactobucillius,Undetermined
A8-3,Bifido,23.742
A8-3,Parab,35.502
A8-3,16S,14.559
A9-1,A.muc,25.779
A9-1,Firmicutes,17.322
A9-1,Bacteroidetes,15.017
A9-1,Lactobucillius,36.103
A9-1,Bifido,23.302
A9-1,Parab,Undetermined
A9-1,16S,13.782
A9-1,A.muc,25.252
A9-1,Firmicutes,17.320
A9-1,Bacteroidetes,14.931
A9-1,Lactobucillius,38.245
A9-1,Bifido,23.864
A9-1,Parab,Undetermined
A9-1,16S,13.512
A9-1,A.muc,25.353
A9-1,Firmicutes,17.383
A9-1,Bacteroidetes,14.549
A9-1,Lactobucillius,37.252
A9-1,Bifido,23.412
A9-1,Parab,Undetermined
A9-1,16S,13.585
A9-2,A.muc,32.416
A9-2,Firmicutes,16.176
A9-2,Bacteroidetes,14.990
A9-2,Lactobucillius,33.396
A9-2,Bifido,19.441
