"","rowname","Freq"
"228","C26+AC0-3",3
"229","C27+AC0-1",3
"230","C27+AC0-2",3
"231","C27+AC0-3",3
"232","C28+AC0-1",3
"233","C28+AC0-2",3
"234","C28+AC0-3",3
"235","C29+AC0-1",3
"236","C29+AC0-2",3
"237","C29+AC0-3",3
"238","C2+AC0-1",3
"239","C2+AC0-2",3
"240","C2+AC0-3",3
"241","C30+AC0-1",3
"242","C30+AC0-2",3
"243","C30+AC0-3",3
"244","C3+AC0-1",3
"245","C3+AC0-2",3
"246","C3+AC0-3",3
"247","C4+AC0-1",3
"248","C4+AC0-2",3
"249","C4+AC0-3",3
"250","C5+AC0-1",3
"251","C5+AC0-2",3
"252","C5+AC0-3",3
"253","C6+AC0-1",3
"254","C6+AC0-2",3
"255","C6+AC0-3",3
"256","C7+AC0-1",3
"257","C7+AC0-2",3
"258","C7+AC0-3",3
"259","C8+AC0-1",3
"260","C8+AC0-2",3
"261","C8+AC0-3",3
"262","C9+AC0-1",3
"263","C9+AC0-2",3
"264","C9+AC0-3",3
