"","A.muc","Firmicutes","Bacteroidetes","Lactobucillius","Bifido","Parab"
"A20+AC0-2","   4.9445297962","   1.1136789030","   0.8617452421","   1.3140316271","   1.0970784294","   0.0636365750"
"A20+AC0-2","   3.8392734883","   1.2002486667","   0.9184883537","   3.0525184179","   1.0685590731","   0.0801585377"
"A20+AC0-2","             NA","             NA","             NA","             NA","             NA","             NA"
"A21+AC0-2","   1.3167669221","   0.8962666996","   1.0326370978","   0.0676390403","   3.3357241753","   0.2658160274"
"A21+AC0-2","   1.5757077721","   1.1026691631","   1.1977554129","             NA","   3.8825378791","             NA"
"A21+AC0-2","             NA","   1.5358102697","   0.4966609875","   0.4044406742","   2.9444537243","             NA"
"A22+AC0-2","   1.7244862990","   1.4739286281","   1.3388552570","   2.8778671600","   5.4799649537","   9.4130787635"
"A22+AC0-2","   1.8367645037","   1.6354262098","   1.1623141075","   2.1614508041","   8.6348233683","  10.4879925929"
"A22+AC0-2","   1.7705120549","   1.8221814993","   1.1598996545","             NA","   7.3521523727","   8.0036976392"
"A23+AC0-2","   1.4759733440","   0.9880573354","   0.9630393590","   0.6564088825","   2.0260456303","   0.8177131049"
"A23+AC0-2","   1.5048990017","   0.8325833810","   0.6305430012","   0.7431197753","   1.6376949641","   0.4654398580"
"A23+AC0-2","   2.4379468377","   1.3619433226","   0.7446666572","   0.3250349289","   2.6311010664","   0.3780546401"
"A24+AC0-2","  32.5668738237","   2.4188701648","   0.9654900747","   2.1759820666","   0.3519233960","  45.6328229557"
"A24+AC0-2","  32.1407866244","   2.3576234794","   0.8073875991","   1.8695183951","   0.4611580968","  48.8064529042"
"A24+AC0-2","  50.5743277603","   2.8290807057","   1.2616688826","   1.7797402117","   0.6148614804","  68.4510136247"
"A25+AC0-2","   0.9360559476","   0.7366238429","   0.9661595334","             NA","   0.6927147667","   5.2768122997"
"A25+AC0-2","   0.7849467365","   0.8802590136","   0.9742293373","   0.3847518050","   0.7156535920","   4.1286401133"
"A25+AC0-2","   1.6479433701","   1.0090516338","   1.0937881470","   0.5332928904","   0.8762007370","   4.2008074713"
"A26+AC0-2"," 408.7759947417","             NA","   1.3106962040","   1.5085543417","   2.4891732832","             NA"
"A26+AC0-2"," 403.7075245451","   0.6449831309","   1.3061615396","   1.1876968663","   2.8179903410","             NA"
"A26+AC0-2"," 437.5083273601","   0.7533192669","   1.2872866393","   1.6761678967","   2.5894876299","             NA"
"A27+AC0-2","   3.3721452200","   0.8874062792","   0.8528319150","   0.4873398154","   0.6882478008","             NA"
"A27+AC0-2","   2.9214136892","   1.1349798358","   0.8563861289","   0.5373745864","   0.8379871347","             NA"
"A27+AC0-2","   3.6494186620","   0.9206129659","   1.0085854607","   0.3162198856","   0.8016253294","             NA"
"A28+AC0-2","   0.4164841026","   7.7034248858","            NaN","   4.3439274253","            NaN","   1.9305340497"
"A28+AC0-2","   0.1771856084","   9.5499951469","            NaN","   6.6760742492","             NA","   1.0446357629"
"A28+AC0-2","   0.2732575634","  13.2003108642","            NaN","  16.1560207615","            NaN","   1.9453098948"
"A29+AC0-2","   0.6568640282","             NA","             NA","             NA","             NA","             NA"
"A29+AC0-2","   0.3128768164","   0.5776096165","   0.2718092892","             NA","   0.1161585027","             NA"
"A29+AC0-2","   0.6380169542","   0.7776358667","   1.0386191036","             NA","   2.8781996435","             NA"
"A30+AC0-2","             NA","   0.2282995625","             NA","             NA","             NA","             NA"
"A30+AC0-2","   0.1007603539","   0.6250311513","   1.6160815494","   1.1376052279","   1.1091849912","   0.0083067509"
"A30+AC0-2","   0.0859117935","   0.7290046894","   1.7586885312","   1.7789179871","   1.5005589533","   0.0060682658"
"B1+AC0-2","             NA","   0.9238091026","   1.2440116533","   8.9879992243","   0.6890433553","   0.9244496602"
"B1+AC0-2","   0.0468004647","   1.1701282532","   0.9221031179","   9.6598447319","   1.9435128773","             NA"
"B1+AC0-2","   0.0551944366","   0.8806658736","   0.8944049018","   8.2363206675","   1.9327655789","             NA"
"B2+AC0-2","   0.8983399095","   1.1701282532","   0.9008340927","  24.6725227603","   2.8232039101","   0.0747819206"
"B2+AC0-2","   0.8755936114","   1.3192030749","   1.0915160417","  23.2447552986","   2.9005637609","   0.0539524892"
"B2+AC0-2","   2.3011153958","   1.0857309702","   0.8203624333","  15.5714709958","   2.4714082248","   0.0494403694"
"B3+AC0-2","  17.1226409755","   1.1682372836","   0.9161569430","            NaN","   3.3698086369","   0.4194778874"
"B3+AC0-2","   4.9342586184","   2.8251614843","   0.9880573354","            NaN","   2.7985250599","   0.1309117654"
"B3+AC0-2","  32.8958419568","   1.6260068479","   0.9643753408","            NaN","   2.8712255506","   0.3212273565"
"B4+AC0-2","   0.0033483514","   0.4730288234","   0.9639298077","   0.0082904531","   4.7546308463","             NA"
"B4+AC0-2","   0.0032500253","   0.5613607110","   0.9150991681","             NA","   4.4454619158","             NA"
"B4+AC0-2","   0.0041682764","   0.7484614934","   1.1631200415","             NA","   4.0878247098","             NA"
"B5+AC0-2","  29.8225834217","   0.9007300303","   0.9182761623","   3.2493849474","   2.7727803456","             NA"
"B5+AC0-2","  29.8639549708","   1.1027965558","   1.0548223171","   6.9555599721","   2.5585622477","             NA"
"B5+AC0-2","  34.7112961689","   1.3949048028","   0.5900871717","   7.4238453985","   2.5710066350","             NA"
"B6+AC0-2","  12.4436113267","   2.0926533293","   0.8372130279","             NA","   0.6602114205","             NA"
"B6+AC0-2","   9.1853413302","   1.9742891967","   0.8092552173","   0.0193212646","   1.3793609218","             NA"
"B6+AC0-2","  10.3555576013","   1.9216336683","   0.8407021494","   0.0062468012","   0.6820739174","             NA"
"B7+AC0-2","   0.6445362175","   0.9648210798","   0.9803258926","   6.2650817441","  20.7734174106","  10.3006728003"
"B7+AC0-2","   0.3025684224","   1.0141937812","   1.0064903453","   6.6268962520","  23.5501879173","  11.5327660291"
"B7+AC0-2","   0.3967585817","   1.3125144748","   1.0477781873","   6.8891850626","  24.9102339629","   6.9724547511"
"B8+AC0-2","   1.6117932167","   0.9115118603","   0.8325833810","   0.8083208688","  28.8200313551","             NA"
"B8+AC0-2","   0.8228302092","   0.9242360917","   0.8058966083","             NA","  29.3848371936","             NA"
"B8+AC0-2","   0.7212976690","   1.0262152240","   1.0378994371","   0.6722174971","  35.1633349625","             NA"
"B9+AC0-2","   4.0736819107","   0.7988519164","   0.9432202956","  26.3092825161","   0.5595478186","   0.2872409478"
"B9+AC0-2","   1.6740392259","   0.8173353285","   0.7806061135","  54.2480735286","   0.5109780887","   0.2782268068"
"B9+AC0-2","   2.9924628426","   0.8784304682","   0.8643375039","  48.8911013634","   0.4679198489","   0.2581592744"
"B10+AC0-2","   9.2791972360","   2.0662287754","   0.9590425079","  85.1833758223","  24.5162542514","             NA"
"B10+AC0-2","   6.6299592359","   2.0505344758","   0.9670528671","  57.3014602713","  28.1422674338","             NA"
"B10+AC0-2","   7.0910535936","   2.0878238548","   1.0025447721","  82.4529953680","  29.6234274650","             NA"
"B11+AC0-2","   1.7548325030","   1.2541124096","   0.8544097409","             NA","   3.8512675014","   5.0268919052"
"B11+AC0-2","   1.8446323872","   1.7226942466","   0.8919285194","   1.2445866416","   4.7283385397","   7.2937799085"
"B11+AC0-2","   0.7201320259","   1.4607068446","   0.9706344698","   1.6779115495","   3.8167199499","   6.8669367089"
"B12+AC0-2","   1.6017696251","   0.6720621998","   1.0307301420","   0.3729790924","   0.9787416504","   0.2405096468"
"B12+AC0-2","   1.3780867105","   0.6402319886","   0.9054247613","   0.4810192937","   0.9323864864","             NA"
"B12+AC0-2","   1.0842268703","   0.6031825790","   0.9334642440","             NA","   0.9157336864","   0.3885485187"
"B13+AC0-2","   2.6506263881","   0.7071067812","   1.0767375682","            NaN","   1.0927777391","   1.0212480569"
"B13+AC0-2","   2.0060163064","   0.8253054085","   1.0932828263","            NaN","   0.8937851624","   0.4928885367"
"B13+AC0-2","   1.2625437080","   0.8356669589","   1.1178035537","            NaN","   1.0784804317","   0.9548416039"
"B14+AC0-2","   1.6411039983","   2.1125712507","   1.0030081532","   0.1258549036","1222.8231035644","             NA"
"B14+AC0-2","   3.3721452200","   2.3375544971","   1.0369406575","             NA","1222.8231035644","             NA"
"B14+AC0-2","   1.6779115495","   2.1779940307","   1.0390991584","   0.2319415726","1305.1500823749","   0.9475889849"
"B16+AC0-2","   3.2989341944","   1.1779949328","   0.5826359660","   2.2247861470","   0.8861769252","   5.5123468422"
"B16+AC0-2","   2.7188564838","   1.0884939081","   0.8571779636","             NA","   1.0179499762","   9.7653155737"
"B16+AC0-2","   2.8441548212","   1.1006328802","   0.9419136205","   1.9995379553","   0.8471366822","   7.5982472923"
"B17+AC0-2","   0.1998976384","   0.4476159448","   1.1952673384","   0.7488939466","   0.4863274737","             NA"
"B17+AC0-2","   0.3220448069","   0.4130342526","   1.1052198153","   0.6028342677","   0.4597750231","             NA"
"B17+AC0-2","   0.2772642151","   0.4190903866","   1.0113857336","             NA","   0.4681361237","             NA"
