"","A.muc","Firmicutes","Bacteroidetes","Lactobucillius","Bifido","Parab"
"A1+AC0-1",15.708,3.506,0.819000000000001,25.657,11.896,15.607
"A1+AC0-1",16.142,3.482,1.315,25.657,NA,NA
"A1+AC0-1",17.002,3.972,1.193,25.657,12.274,16.038
"A1+AC0-2",15.3206666666667,4.03166666666667,0.912666666666667,26.6826666666667,8.61466666666667,12.7276666666667
"A1+AC0-2",NA,3.18166666666667,1.34566666666667,NA,NA,NA
"A1+AC0-2",15.4656666666667,4.27166666666667,1.39566666666667,25.9326666666667,8.84166666666667,13.1576666666667
"A1+AC0-3",12.7316666666667,3.26966666666667,1.79266666666667,24.3176666666667,10.6846666666667,17.2376666666667
"A1+AC0-3",12.5776666666667,2.82466666666667,1.86466666666667,NA,11.7336666666667,18.5146666666667
"A1+AC0-3",NA,3.47066666666667,1.91266666666667,25.8516666666667,10.7446666666667,16.4956666666667
"A2+AC0-1",16.6616666666667,1.98566666666667,1.63166666666667,22.1176666666667,10.2746666666667,14.1696666666667
"A2+AC0-1",16.7386666666667,1.87466666666667,2.45866666666667,22.3206666666667,NA,NA
"A2+AC0-1",16.9526666666667,2.69066666666667,2.70366666666667,NA,10.1076666666667,13.8116666666667
"A2+AC0-2",16.5463333333333,2.47133333333333,1.73233333333333,20.9813333333333,6.73633333333333,10.6553333333333
"A2+AC0-2",16.6923333333333,2.29333333333333,1.97733333333333,20.0573333333333,7.39733333333333,12.5943333333333
"A2+AC0-2",18.0293333333333,2.59233333333333,1.45533333333333,19.7093333333333,7.09933333333333,11.1353333333333
"A2+AC0-3",20.011,1.395,2.093,18.675,7.282,17.154
"A2+AC0-3",19.296,1.372,3.346,19.722,NA,NA
"A2+AC0-3",20.465,1.869,2.181,18.397,7.289,16.721
"A3+AC0-1",22.0403333333333,1.12233333333333,1.41233333333333,20.6563333333333,9.82033333333333,25.8403333333333
"A3+AC0-1",21.2283333333333,0.958333333333334,2.31433333333333,20.6973333333333,9.32833333333333,NA
"A3+AC0-1",22.3713333333333,1.31933333333333,1.33433333333333,19.1153333333333,9.32633333333333,25.8403333333333
"A3+AC0-2",18.0023333333333,2.57033333333333,1.77033333333333,19.3723333333333,9.59733333333333,25.0213333333333
"A3+AC0-2",17.7323333333333,1.98933333333333,2.10333333333333,19.9903333333333,9.99633333333333,25.0213333333333
"A3+AC0-2",18.3083333333333,2.63533333333333,2.28133333333333,20.7263333333333,9.88033333333333,25.0213333333333
"A3+AC0-3",20.1616666666667,2.38966666666667,1.15966666666667,20.6956666666667,8.17566666666667,26.1336666666667
"A3+AC0-3",20.0896666666667,1.95666666666667,1.07266666666667,20.7846666666667,7.78966666666667,26.1336666666667
"A3+AC0-3",21.2246666666667,2.87366666666667,1.25966666666667,22.0286666666667,8.73766666666667,26.1336666666667
"A4+AC0-1",14.8086666666667,NA,2.05166666666667,19.5166666666667,7.69366666666667,22.1916666666667
"A4+AC0-1",14.8426666666667,2.99666666666667,2.05166666666667,21.0406666666667,7.34366666666667,20.8486666666667
"A4+AC0-1",15.2856666666667,3.40666666666667,2.25466666666667,21.3426666666667,7.97766666666667,22.7816666666667
"A4+AC0-2",20.182,2.76,1.907,22.084,13.982,27.069
"A4+AC0-2",18.836,2.526,1.075,20.806,11.269,27.069
"A4+AC0-2",19.797,3.167,1.666,21.225,12.536,27.069
"A4+AC0-3",16.4853333333333,2.90733333333333,2.18333333333333,18.8243333333333,8.77433333333333,NA
"A4+AC0-3",14.2073333333333,1.68233333333333,0.634333333333334,18.2933333333333,5.98733333333333,21.0753333333333
"A4+AC0-3",16.6273333333333,3.24333333333333,1.90233333333333,20.0963333333333,7.94633333333333,23.0823333333333
"A5+AC0-1",15.345,3.141,0.847,22.701,10.586,18.952
"A5+AC0-1",13.398,1.738,0.00999999999999979,21.998,7.318,17.345
"A5+AC0-1",15.454,3.516,1.628,26.424,9.531,17.172
"A5+AC0-2",20.9063333333333,1.87433333333333,1.52133333333333,25.8943333333333,NA,NA
"A5+AC0-2",19.3773333333333,1.86733333333333,0.926333333333334,NA,9.53633333333333,18.1723333333333
"A5+AC0-2",19.8133333333333,2.46633333333333,1.99533333333333,25.8943333333333,10.3633333333333,18.9663333333333
"A5+AC0-3",19.193,2.581,1.325,NA,6.305,16.78
"A5+AC0-3",20.972,3.703,2.326,23.278,5.707,14.237
"A5+AC0-3",19.64,2.575,1.124,23.278,4.239,14.132
"A6+AC0-1",13.4903333333333,2.10033333333334,1.51433333333333,14.9363333333333,8.93233333333334,13.3543333333333
