"","A.muc","Firmicutes","Bacteroidetes","Lactobucillius","Bifido","Parab"
"A1+AC0-2","   1.8565887023","   0.9358198060","   0.9380935230","            NaN","  10.2766160877","   7.4425383332"
"A2+AC0-2","   0.8890370755","   0.8331157994","   1.4730167781","   4.1762716340","   8.8084946228","   6.6541250321"
"A3+AC0-2","  14.7711825968","   0.4249601198","   0.7851838059","   1.1724862152","   0.7993446001","            NaN"
"A4+AC0-2","   0.0438707850","   1.3266090996","   1.5300578966","   0.6388764883","   0.0431846493","            NaN"
"A5+AC0-2","   0.0277872765","   1.6875742981","   0.6660800122","            NaN","   0.5961017902","   0.6188295586"
"A6+AC0-2","   1.0856133693","   1.5086825536","   1.1617133460","   0.0174213517","   0.9445409699","   0.2899519812"
"A7+AC0-2","   3.0302895772","   0.8222634318","   0.8537802686","   1.3257950872","   5.7739667586","   0.7852481333"
"A8+AC0-2","   0.8097314287","   0.7632310529","   1.1189593659","   0.0406044722","   7.5529823895","   0.0858159671"
"A9+AC0-2","   0.0308114358","   1.8764923271","   0.6879230997","   7.6910831394","  12.6966002081","            NaN"
"A10+AC0-2","  92.4960758590","   1.4213511940","   1.1664885958","   0.5051127609","   2.1408493362","   0.6831618482"
"A11+AC0-2","   4.9500525632","   0.7744839097","   0.9084304522","   0.0247173291","   0.9149596163","            NaN"
"A12+AC0-2","   0.0112661666","   2.2672772953","   0.4675522457","   0.2888118391","   1.2973850181","            NaN"
"A13+AC0-2","   1.0927187930","   1.0009262526","   1.1369048319","   0.6054166874","   6.0660704177","            NaN"
"A14+AC0-2","   0.8278455439","   2.9467547167","   0.8903049067","   1.5870248370","   8.5371282668","   1.8191050571"
"A15+AC0-2","   6.7973770522","   1.2408720182","   0.8738197725","   0.9369190277","   1.4637986566","   4.1252951443"
"A16+AC0-2","   0.5719881677","   0.7901987284","   0.8445823784","   2.8904005178","   1.6736316483","   0.4996074106"
"A17+AC0-2","   2.5512455987","   1.4128664567","   0.9836617923","   0.2091305469","   1.5734008080","   0.7594358449"
"A18+AC0-2","   0.0026195160","   0.6170961805","   1.2402994960","   0.2086742454","   0.1004505395","            NaN"
"A19+AC0-2","   2.4847111976","   0.7261336960","   0.6259036422","   0.0315817532","   0.4139535149","            NaN"
"A20+AC0-2","   4.3919016422","   1.1569637848","   0.8901167979","   2.1832750225","   1.0828187512","   0.0718975563"
"A21+AC0-2","   1.4462373471","   1.1782487108","   0.9090178327","   0.2360398572","   3.3875719262","   0.2658160274"
"A22+AC0-2","   1.7772542859","   1.6438454457","   1.2203563397","   2.5196589821","   7.1556468982","   9.3015896652"
"A23+AC0-2","   1.8062730612","   1.0608613463","   0.7794163391","   0.5748545289","   2.0982805536","   0.5537358677"
"A24+AC0-2","  38.4273294028","   2.5351914500","   1.0115155188","   1.9417468912","   0.4759809911","  54.2967631615"
"A25+AC0-2","   1.1229820181","   0.8753114968","   1.0113923392","   0.4590223477","   0.7615230319","   4.5354199614"
"A26+AC0-2"," 416.6639488823","   0.6991511989","   1.3013814610","   1.4574730349","   2.6322170847","            NaN"
"A27+AC0-2","   3.3143258571","   0.9809996936","   0.9059345015","   0.4469780958","   0.7759534216","            NaN"
"A28+AC0-2","   0.2889757581","  10.1512436323","            NaN","   9.0586741454","            NaN","   1.6401599025"
"A29+AC0-2","   0.5359192663","   0.6776227416","   0.6552141964","            NaN","   1.4971790731","            NaN"
"A30+AC0-2","   0.0933360737","   0.5274451344","   1.6873850403","   1.4582616075","   1.3048719723","   0.0071875083"
"B1+AC0-2","   0.0509974507","   0.9915344098","   1.0201732243","   8.9613882079","   1.5217739371","   0.9244496602"
"B2+AC0-2","   1.3583496389","   1.1916874328","   0.9375708559","  21.1629163515","   2.7317252986","   0.0593915931"
"B3+AC0-2","  18.3175805169","   1.8731352053","   0.9561965398","            NaN","   3.0131864158","   0.2905390031"
"B4+AC0-2","   0.0035888844","   0.5942836759","   1.0140496725","   0.0082904531","   4.4293058240","            NaN"
"B5+AC0-2","  31.4659448538","   1.1328104629","   0.8543952170","   5.8762634393","   2.6341164094","            NaN"
"B6+AC0-2","  10.6615034194","   1.9961920648","   0.8290567982","   0.0127840329","   0.9072154199","            NaN"
"B7+AC0-2","   0.4479544072","   1.0971764453","   1.0115314750","   6.5937210195","  23.0779464302","   9.6019645268"
"B8+AC0-2","   1.0519736983","   0.9539877253","   0.8921264755","   0.7402691829","  31.1227345037","            NaN"
"B9+AC0-2","   2.9133946597","   0.8315392377","   0.8627213043","  43.1494858027","   0.5128152521","   0.2745423430"
"B10+AC0-2","   7.6667366885","   2.0681957020","   0.9762133824","  74.9792771539","  27.4273163834","            NaN"
"B11+AC0-2","   1.4398656387","   1.4791711669","   0.9056575767","   1.4612490956","   4.1321086636","   6.3958695075"
"B12+AC0-2","   1.3546944020","   0.6384922558","   0.9565397158","   0.4269991930","   0.9422872744","   0.3145290828"
"B13+AC0-2","   1.9730621342","   0.7893597162","   1.0959413161","            NaN","   1.0216811111","   0.8229927325"
"B14+AC0-2","   2.2303869226","   2.2093732595","   1.0263493231","   0.1788982381","1250.2654298346","   0.9475889849"
"B16+AC0-2","   2.9539818331","   1.1223739070","   0.7939091834","   2.1121620511","   0.9170878612","   7.6253032361"
"B17+AC0-2","   0.2664022202","   0.4265801947","   1.1039576291","   0.6758641071","   0.4714128735","            NaN"
"B18+AC0-2","   1.8094911773","   1.7639750819","   0.6074100821","   0.4191204095","  47.2700626882","   0.8049279674"
"B19+AC0-2","   1.2166476415","   0.9725178762","   0.9469074335","   0.0970514554","  10.0133277229","            NaN"
"B20+AC0-2","   0.6568917519","   0.7135374309","   1.0473321278","   0.8880419869","   6.9987218972","   1.2166149080"
"B21+AC0-2","   0.6590035329","   0.9241017386","   0.9846913564","   0.4654808880","   0.3254220336","   0.9039291103"
"B22+AC0-2","   6.9661787132","   1.0372062240","   1.0407364048","   5.8369612426","   3.2708320451","   0.2430121810"
"B23+AC0-2","   0.8032903332","   0.5138300556","   1.5229040987","   5.1969051089","   0.3075075061","   0.0024229577"
"B24+AC0-2","   0.8651976595","   1.8605234361","   1.0129576318","   1.6642660917","   8.4292538997","   1.4508532595"
"B25+AC0-2","   1.4255318186","   1.1386628957","   0.8696589602","   0.4623630711","   1.1478324382","   5.6165014942"
"B26+AC0-2","   3.1697924417","   0.7641522889","   0.8634602265","   0.1607016213"," 183.3651595165"," 176.6539511837"
"B27+AC0-2","   1.2134313164","   0.6589043672","   1.1760216540","   0.2904806920","   5.8346887333","   0.8877007667"
"B28+AC0-2","   0.6745110145","   0.9780754049","   1.3608805037","   0.6016592615","  11.8268962915","   0.1793927873"
