"","A.muc","Firmicutes","Bacteroidetes","Lactobucillius","Bifido","Parab","16S"
"A10-3","21.980","16.105","13.883","30.505","23.784","34.136","12.465"
"A10-3","21.702","16.326","14.256","30.272","23.765","33.381","12.920"
"A11-1","35.506","18.743","17.463","34.509","24.391","39.561","15.089"
"A11-1","34.693","18.496","16.525","35.527","23.768","40","15.053"
"A11-1","36.075","18.579","16.838","33.549","24.049","40","15.370"
"A11-2","30.482","16.621","14.810","36.320","21.755","40","12.607"
"A11-2","30.780","16.168","14.809","40","21.658","40","12.604"
"A11-2","30.716","16.824","14.295","37.403","21.792","40","12.910"
"A11-3","33.738","17.563","14.464","33.138","27.886","40","12.627"
"A11-3","32.366","16.369","13.485","33.356","27.320","40","13.849"
"A11-3","34.614","18.264","14.739","34.332","28.502","40","14.387"
"A12-1","27.401","16.416","14.802","32.501","20.160","23.295","12.981"
"A12-1","26.463","15.960","13.988","31.136","19.847","23.080","12.977"
"A12-1","26.674","16.418","14.615","31.219","20.175","25.323","13.478"
"A12-2","34.708","16.473","16.979","36.823","20.729","40","13.866"
"A12-2","34.005","15.809","16.254","34.386","20.476","40","14.374"
"A12-2","34.772","16.476","16.992","34.721","21.400","40","14.596"
"A12-3","32.821","15.262","15.743","35.959","21.430","35.033","12.972"
"A12-3","32.362","14.680","15.437","34.614","21.311","40","13.114"
"A12-3","32.902","15.126","16.176","35.632","22.134","40","13.713"
"A13-1","29.904","16.905","14.956","34.089","25.592","40","12.955"
"A13-1","29.206","16.034","14.397","33.029","25.359","40","13.019"
"A13-1","30.135","16.465","14.682","34.440","26.097","40","13.289"
"A13-2","29.405","16.101","14.068","33.841","22.703","39.582","12.206"
"A13-2","28.453","15.392","13.398","35.232","22.059","39.376","12.314"
"A13-2","28.956","15.791","13.896","33.843","22.351","40","12.539"
"A13-3","29.911","16.060","14.077","35.831","25.082","39.916","12.129"
"A13-3","28.214","14.925","13.366","34.105","24.232","39.239","12.400"
"A13-3","30.426","15.983","14.044","34.928","25.947","40","12.974"
"A14-1","31.376","18.090","15.581","35.457","22.436","24.906","14.083"
"A14-1","31.817","17.825","15.507","36.065","22.808","24.445","14.122"
"A14-1","31.851","17.785","15.365","35.733","22.932","27.860","14.279"
"A14-2","31.065","16.222","15.788","35.139","19.376","23.374","13.968"
"A14-2","31.968","16.146","15.365","37.477","19.840","23.581","13.968"
"A14-2","32.855","16.143","15.333","34.720","19.233","24.049","14.035"
"A14-3","31.374","18.118","15.971","34.713","24.857","26.691","14.282"
"A14-3","31.666","17.852","15.393","34.833","24.986","26.887","14.329"
"A14-3","32.069","17.996","15.661","34.520","25.126","27.796","14.567"
"A15-1","34.937","17.322","15.965","32.952","26.810","33.067","14.129"
"A15-1","35.000","17.160","15.572","32.065","27.197","34.377","14.438"
"A15-1","34.662","17.276","15.810","32.911","27.313","32.342","14.598"
"A15-2","32.812","17.346","17.215","32.995","27.060","31.430","14.565"
"A15-2","32.058","17.227","15.933","34.089","26.543","32.865","14.683"
"A15-2","32.688","17.392","16.207","32.626","27.313","31.784","15.053"
"A15-3","33.646","17.967","16.338","33.777","27.493","33.481","14.697"
"A15-3","34.586","17.606","15.850","32.250","27.938","34.560","14.785"
"A15-3","33.721","17.357","15.872","30.630","27.433","32.966","15.202"
"A16-1","28.774","14.999","14.806","35.727","19.404","21.610","12.824"
"A16-1","28.253","14.703","14.230","35.893","19.543","22.710","12.840"
"A16-1","28.312","14.677","14.475","35.445","19.301","21.908","13.287"
"A16-2","29.789","15.260","15.662","36.184","18.782","22.981","12.898"
"A16-2","29.415","15.330","14.424","34.422","18.907","23.709","13.122"
"A16-2","29.110","15.287","14.892","34.218","18.811","23.118","13.409"
"A16-3","28.996","15.102","15.295","40","18.740","24.003","12.951"
"A16-3","28.357","14.885","14.971","34.965","18.577","25.341","13.023"
"A16-3","28.371","15.003","14.785","35.240","18.439","24.048","13.046"
"A17-1","29.370","16.479","13.809","30.844","24.868","40","12.614"
"A17-1","28.514","16.602","13.803","31.173","25.247","38.900","12.553"
"A17-1","40","21.916","16.513","38.918","28.053","40","14.540"
"A17-2","27.506","16.096","13.877","33.630","24.396","40","12.649"
"A17-2","27.841","16.134","13.929","33.097","24.562","39.370","12.664"
"A17-2","40","20.508","20.694","40","28.547","40","16.927"
"A17-3","20.800","15.912","14.120","34.005","23.330","38.969","12.670"
"A17-3","20.654","15.689","14.012","34.220","23.362","37.529","12.648"
"A17-3","33.096","22.781","16.622","40","23.999","40","13.037"
"A18-1","22.859","15.047","14.392","25.558","21.000","40","12.639"
"A18-1","23.015","15.107","14.387","26.106","21.206","40","12.382"
"A18-1","40","24.975","27.598","40","23.418","40","13.158"
"A18-2","32.020","16.527","14.784","28.407","25.044","40","13.173"
"A18-2","32.430","16.416","14.599","28.830","25.089","40","13.188"
"A18-2","37.445","18.132","14.968","29.256","25.219","40","13.909"
"A18-3","30.176","15.860","14.747","29.964","22.335","40","12.990"
"A18-3","31.256","15.596","14.794","31.065","22.315","40","13.012"
"A18-3","39.747","18.301","14.989","30.857","22.780","40","14.752"
"A19-1","37.274","19.427","17.113","32.637","26.896","40","16.294"
"A19-1","37.112","19.408","17.124","28.976","27.080","40","16.433"
"A19-1","40","27.819","25.761","40","31.502","40","25.243"
"A19-2","34.792","19.835","17.615","35.823","28.036","40","16.163"
"A19-2","38.629","19.565","17.603","35.417","28.115","38.704","16.193"
"A19-2","40","34.389","40","40","40","40","40"
"A19-3","34.257","17.654","14.088","34.151","24.574","39.149","12.971"
"A19-3","33.282","17.631","14.040","32.280","24.802","37.435","12.901"
"A19-3","40","16.575","14.220","33.421","24.792","38.541","13.109"
"A20-1","34.377","17.949","15.790","34.451","24.051","31.690","14.627"
"A20-1","35.650","18.083","15.914","33.354","24.467","31.116","14.595"
"A20-1","32.898","17.728","15.972","33.168","24.206","32.020","14.991"
"A20-2","31.934","16.991","15.333","32.490","23.334","34.809","14.009"
"A20-2","32.299","16.883","15.241","31.274","23.372","34.476","13.919"
"A20-2","33.565","18.600","17.534","35.101","24.431","40","17.464"
"A20-3","31.128","17.219","17.793","31.063","21.102","40","15.079"
"A20-3","31.490","17.219","17.121","31.116","21.094","40","15.088"
"A20-3","40","40","32.694","40","36.454","40","24.991"
"A21-1","30.036","16.612","15.979","35.048","24.733","33.742","14.215"
"A21-1","30.438","16.466","15.908","32.436","24.841","39.082","14.114"
"A21-1","25.532","15.629","15.748","35.536","24.673","38.085","14.349"
"A21-2","28.559","15.416","14.551","37.897","21.730","39.214","12.825"
"A21-2","28.300","15.117","14.337","32.959","21.511","40","12.891"
"A21-2","26.210","14.639","15.607","35.317","21.910","40","13.119"
"A21-3","28.418","16.019","14.095","33.015","19.771","40","12.645"
"A21-3","28.566","15.875","13.935","28.785","19.326","40","12.504"
"A21-3","24.444","14.436","13.104","31.504","19.265","33.468","12.247"
"A22-1","29.551","16.977","14.678","33.183","28.395","29.165","13.310"
"A22-1","30.084","16.571","14.562","31.235","28.230","28.706","13.176"
"A22-1","25.461","15.238","14.006","30.860","26.754","28.640","12.743"
"A22-2","30.140","16.811","15.103","31.343","26.967","26.711","14.106"
"A22-2","30.049","16.661","15.307","31.756","26.311","26.555","14.143"
"A22-2","30.102","16.505","15.310","32.629","26.543","26.945","14.306"
"A22-3","24.712","15.493","14.198","33.766","23.686","21.109","13.029"
"A22-3","24.880","15.622","14.855","34.571","23.622","21.422","13.088"
"A22-3","24.595","15.331","14.526","32.613","23.532","21.379","12.960"
"A23-1","30.655","15.484","13.882","36.840","20.353","25.396","12.851"
"A23-1","31.118","15.606","14.214","34.629","20.052","25.994","12.971"
"A23-1","31.098","15.404","14.135","34.991","20.051","25.920","12.706"
"A23-2","30.608","15.728","14.344","35.630","19.346","26.273","13.027"
"A23-2","30.580","15.975","14.955","35.451","19.653","27.086","13.100"
"A23-2","29.884","15.265","14.715","36.644","18.969","27.386","13.039"
"A23-3","30.303","15.847","15.028","31.806","18.396","26.493","13.119"
"A23-3","31.042","15.483","15.098","32.019","18.172","26.968","13.346"
"A23-3","29.702","14.926","14.802","32.593","17.893","26.586","13.030"
"A24-1","32.536","18.311","14.592","33.359","24.056","32.816","13.416"
"A24-1","33.346","17.894","14.708","33.517","23.609","32.204","13.574"
"A24-1","32.543","17.418","14.414","33.179","23.454","32.006","13.256"
"A24-2","28.070","16.887","14.909","32.517","25.500","27.117","13.847"
"A24-2","28.089","16.924","15.167","32.736","25.110","27.020","13.930"
"A24-2","27.435","16.661","14.523","32.807","24.695","26.532","13.330"
"A24-3","28.434","16.566","14.737","32.675","23.208","26.930","13.410"
"A24-3","28.850","16.270","14.615","31.665","23.216","26.467","13.300"
"A24-3","28.310","16.193","14.491","32.990","22.914","26.165","13.053"
"A25-1","27.342","16.181","14.032","32.565","22.087","28.254","12.750"
"A25-1","27.986","16.292","13.985","33.722","22.125","28.399","12.836"
"A25-1","26.996","16.027","13.749","33.669","21.836","28.047","12.734"
"A25-2","27.906","16.977","14.341","33.950","22.915","26.203","13.182"
"A25-2","28.160","16.720","14.329","35.066","22.868","26.557","13.159"
"A25-2","27.090","16.523","14.162","34.595","22.576","26.532","13.087"
"A25-3","28.605","18.122","14.885","32.260","23.825","27.346","13.509"
"A25-3","29.226","18.096","14.902","33.090","23.921","27.598","13.653"
"A25-3","28.129","17.597","14.330","32.816","23.459","27.068","13.296"
"A26-1","30.745","16.960","16.017","35.118","22.674","40","13.946"
"A26-1","32.103","17.075","15.192","40","22.345","40","13.876"
"A26-1","30.528","16.712","14.906","34.541","22.049","40","13.764"
"A26-2","20.965","32.340","13.985","33.240","20.044","40","12.989"
"A26-2","20.983","16.552","13.990","33.585","19.865","40","12.806"
"A26-2","20.867","16.328","14.011","33.088","19.987","40","12.802"
"A26-3","27.548","17.350","15.211","35.421","20.730","40","13.386"
"A26-3","27.577","17.025","14.778","35.273","20.337","40","13.208"
"A26-3","27.088","16.727","14.622","33.134","20.453","40","13.187"
"A27-1","22.797","15.976","14.954","30.641","19.072","40","13.035"
"A27-1","22.985","15.984","14.353","30.696","18.870","40","12.929"
"A27-1","22.593","15.940","14.161","29.989","18.923","40","12.819"
"A27-2","21.431","16.532","15.112","31.872","19.887","40","13.551"
"A27-2","21.638","16.177","15.106","31.731","19.603","40","13.243"
"A27-2","21.317","16.479","14.870","32.496","19.667","40","13.168"
"A27-3","22.293","15.479","13.914","30.946","17.664","40","12.575"
"A27-3","22.509","18.311","40","40","31.053","40","12.979"
"A27-3","22.679","17.011","18.498","37.572","23.586","40","12.721"
"A28-1","29.429","14.318","14.152","37.451","23.830","23.754","12.429"
"A28-1","30.335","17.736","40","40","40","27.265","12.812"
"A28-1","30.516","18.617","40","40","40","24.964","12.829"
"A28-2","32.021","15.895","16.126","35.996","22.903","24.074","13.157"
"A28-2","33.254","15.585","15.513","35.376","24.414","24.960","13.666"
"A28-2","32.629","15.118","14.198","34.101","21.765","24.063","13.239"
"A28-3","38.690","35.770","36.981","40","22.296","22.977","13.132"
"A28-3","36.091","20.560","40","40","40","40","21.709"
"A28-3","32.947","15.239","14.473","32.535","21.093","23.468","13.131"
"A29-1","31.003","17.958","20.293","40","28.439","40","13.952"
"A29-1","31.114","15.771","14.288","34.548","22.131","36.715","12.987"
"A29-1","30.868","15.244","13.698","33.050","21.358","33.941","12.935"
"A29-2","31.645","32.986","40","40","40","40","19.854"
"A29-2","32.715","16.343","15.916","40","24.894","40","13.768"
"A29-2","31.687","15.914","13.982","32.668","20.263","34.041","12.902"
"A29-3","31.665","17.427","18.888","7.319","24.813","39.640","13.059"
"A29-3","31.790","15.818","14.187","33.821","19.636","34.088","12.968"
"A29-3","31.560","15.350","13.651","32.564","19.270","32.991","12.849"
"A30-1","27.559","34.755","40","40","37.476","27.964","13.059"
"A30-1","27.136","14.893","13.895","33.663","24.803","21.681","12.438"
"A30-1","26.980","14.453","13.548","31.991","24.088","21.490","12.236"
"A30-2","32.414","16.973","18.513","40","30.344","35.751","13.530"
"A30-2","30.705","15.520","13.198","32.810","24.465","28.666","12.421"
"A30-2","30.935","15.298","13.076","32.165","24.029","29.119","12.289"
"A30-3","31.714","40","40","40","40","40","40"
"A30-3","29.420","14.573","14.123","34.024","25.281","27.688","12.440"
"A30-3","29.040","14.479","14.803","34.126","24.367","27.002","12.388"
"B1-1","31.081","16.990","15.673","39.920","34.908","40","13.992"
"B1-1","30.820","16.708","15.757","39.399","32.912","40","14.046"
"B1-1","31.297","17.161","15.962","36.902","34.171","39.624","14.496"
"B1-2","40","15.999","14.414","34.504","33.466","38.669","12.986"
"B1-2","34.415","15.658","14.846","34.400","31.970","40","12.987"
"B1-2","34.177","16.068","14.890","34.630","31.978","40","13.356"
"B1-3","33.788","15.195","14.364","32.400","31.665","38.874","12.629"
"B1-3","33.825","15.076","14.548","31.196","30.855","38.336","12.710"
"B1-3","32.850","15.310","15.186","31.709","29.858","38.700","13.120"
"B2-1","31.432","17.783","14.207","39.814","22.417","23.884","12.728"
"B2-1","31.814","17.280","14.137","37.890","22.404","23.991","12.896"
"B2-1","30.837","17.651","14.388","35.329","22.685","25.148","13.281"
"B2-2","30.960","16.789","13.839","31.429","20.449","27.123","12.086"
"B2-2","30.997","16.616","13.562","31.515","20.410","27.594","12.389"
"B2-2","29.603","16.897","13.974","32.093","20.641","27.720","12.294"
"B2-3","31.722","16.560","13.898","35.441","18.866","25.239","12.856"
"B2-3","31.540","16.214","14.848","34.860","18.960","25.204","13.115"
"B2-3","30.308","16.290","14.397","38.029","19.213","25.374","12.915"
"B3-1","36.889","18.337","15.402","12.434","24.691","32.377","13.983"
"B3-1","38.300","18.016","16.083","40","24.989","31.772","14.487"
"B3-1","38.321","18.310","15.391","40","25.186","31.933","14.166"
"B3-2","34.080","17.864","15.619","31.165","23.070","33.148","14.054"
"B3-2","35.875","16.590","15.510","31.530","23.338","34.828","14.119"
"B3-2","33.138","17.387","15.545","30.587","23.301","33.533","14.065"
"B3-3","33.771","16.429","14.318","34.425","21.974","37.180","13.304"
"B3-3","40","16.392","14.209","34.117","21.562","40","12.839"
"B3-3","33.056","17.097","13.927","32.997","21.861","40","13.238"
"B4-1","20.719","16.193","15.128","27.825","20.482","38.287","13.584"
"B4-1","20.526","15.927","15.116","27.487","20.521","38.776","13.384"
"B4-1","20.650","16.000","14.984","27.706","20.480","40","13.276"
"B4-2","29.999","18.265","16.274","35.732","19.390","40","14.499"
"B4-2","30.042","18.018","16.349","40","19.487","40","14.639"
"B4-2","29.683","17.603","16.003","40","19.608","40","14.541"
"B4-3","22.563","18.019","17.960","38.313","22.861","39.187","15.342"
"B4-3","22.135","17.550","16.993","35.826","22.646","40","15.218"
"B4-3","22.000","17.469","16.853","35.705","22.468","40","15.480"
"B5-1","26.858","16.968","14.607","37.436","21.390","39.239","13.369"
"B5-1","27.627","18.038","14.771","35.009","21.392","40","13.244"
"B5-1","26.505","16.413","15.155","40","21.426","40","13.331"
"B5-2","23.040","17.783","15.909","35.464","20.873","40","14.128"
"B5-2","23.038","17.491","15.709","34.366","20.989","40","14.298"
"B5-2","22.821","17.152","16.547","34.272","20.982","40","14.343"
"B5-3","21.241","16.137","14.053","33.357","22.550","40","13.754"
"B5-3","22.345","40","40","35.828","37.381","34.402","28.894"
"B5-3","21.261","16.225","15.059","33.363","22.212","34.236","13.554"
"B6-1","37.901","19.750","16.135","33.115","31.379","40","15.073"
"B6-1","39.173","20.476","16.001","33.719","30.981","40","15.205"
"B6-1","35.567","19.615","16.087","31.826","30.792","40","15.018"
"B6-2","32.227","18.012","15.461","40","30.780","40","14.135"
"B6-2","32.665","18.096","15.510","38.241","29.717","40","14.032"
"B6-2","32.492","18.135","15.455","39.870","30.733","40","14.520"
"B6-3","31.932","16.884","14.077","32.152","30.007","40","12.886"
"B6-3","33.299","16.964","14.099","32.206","29.967","40","12.783"
"B6-3","32.015","16.873","14.100","31.981","29.905","39.299","12.860"
"B7-1","31.894","17.425","15.310","32.081","25.994","27.595","13.689"
"B7-1","32.535","17.592","15.314","31.444","26.136","27.571","13.760"
"B7-1","32.296","17.254","15.269","31.442","25.984","27.661","13.640"
"B7-2","31.397","15.997","13.848","27.530","20.183","22.766","12.269"
"B7-2","32.488","15.925","13.810","27.449","20.002","22.603","12.119"
"B7-2","32.097","15.553","13.752","27.393","19.921","23.329","12.266"
"B7-3","32.376","18.705","15.968","33.614","21.850","26.121","14.306"
"B7-3","34.045","18.436","15.830","34.404","21.632","26.115","14.251"
"B7-3","33.347","18.211","15.628","34.912","21.589","25.925","14.322"
"B8-1","32.131","16.918","14.363","38.396","27.305","38.198","13.043"
"B8-1","33.908","16.796","14.229","38.036","27.426","37.179","12.992"
"B8-1","32.859","16.568","14.152","37.278","26.927","34.737","12.993"
"B8-2","32.779","17.396","15.014","38.712","22.872","40","13.686"
"B8-2","33.749","17.376","15.061","40","22.844","40","13.333"
"B8-2","33.939","17.225","14.696","38.978","22.585","38.846","13.514"
"B8-3","31.594","17.908","15.498","34.114","20.973","38.078","13.957"
"B8-3","32.870","17.808","15.367","37.610","20.672","36.809","13.976"
"B8-3","32.815","17.569","15.188","34.365","20.752","35.234","13.923"
"B9-1","29.344","16.714","14.758","35.980","25.970","20.987","13.380"
"B9-1","30.739","16.713","14.600","38.539","25.774","21.135","13.380"
"B9-1","30.992","16.640","14.519","39.050","25.576","21.038","13.407"
"B9-2","28.288","16.969","14.666","34.033","26.567","22.809","13.288"
"B9-2","29.571","16.936","14.939","32.989","26.698","22.855","13.249"
"B9-2","28.733","16.832","14.792","33.139","26.825","22.963","13.498"
"B9-3","28.236","15.871","14.243","36.933","23.024","25.451","12.603"
"B9-3","29.134","15.538","14.117","38.081","22.951","25.416","12.537"
"B9-3","28.749","15.516","14.020","38.156","22.946","25.400","12.693"
"B10-1","31.231","17.023","15.180","36.025","22.822","40","12.933"
"B10-1","32.663","17.167","14.400","40","22.551","40","13.008"
"B10-1","31.953","17.047","14.336","35.274","22.411","40","13.274"
"B10-2","28.573","15.870","14.537","29.075","17.817","40","12.658"
"B10-2","29.058","15.881","14.525","29.647","17.618","40","12.915"
"B10-2","28.961","15.855","14.473","29.122","17.544","38.599","13.156"
"B10-3","29.408","16.538","14.894","26.340","20.695","40","12.983"
"B10-3","29.782","16.252","14.557","26.282","20.494","40","13.046"
"B10-3","30.021","16.299","14.647","26.356","20.769","40","13.366"
"B11-1","32.526","16.936","15.620","35.306","25.578","26.844","13.779"
"B11-1","32.298","16.812","15.095","36.545","25.011","26.357","13.398"
"B11-1","33.111","16.908","15.160","35.955","24.981","26.417","13.658"
"B11-2","32.209","16.934","15.894","37.015","23.620","24.585","13.933"
"B11-2","32.137","16.476","15.832","35.995","23.324","24.048","13.854"
"B11-2","33.494","16.714","15.710","35.564","23.633","24.135","14.174"
"B11-3","33.340","17.487","15.150","33.564","24.271","28.298","14.428"
"B11-3","34.343","17.979","15.902","36.212","25.263","29.191","14.854"
"B11-3","33.089","17.920","15.924","36.444","25.157","28.646","14.716"
"B12-1","29.725","15.173","14.344","33.867","18.419","34.658","13.063"
"B12-1","29.157","15.329","14.915","36.458","18.729","38.989","13.120"
"B12-1","29.132","15.089","14.871","36.005","18.833","36.502","13.191"
"B12-2","27.964","15.076","13.972","36.960","17.997","39.107","12.337"
"B12-2","28.181","15.146","14.159","36.593","18.067","40","12.423"
"B12-2","28.527","15.232","14.115","38.656","18.093","38.415","12.531"
"B12-3","30.514","17.640","16.367","32.490","21.280","37.435","15.394"
"B12-3","31.712","17.232","16.279","33.061","21.182","37.337","14.855"
"B12-3","31.591","17.031","16.050","32.878","21.091","38.313","15.083"
"B13-1","29.962","15.755","14.288","38.074","15.989","25.036","12.609"
"B13-1","31.215","15.426","14.260","40","16.118","25.226","12.648"
"B13-1","30.623","15.576","14.293","40","16.066","25.134","12.865"
"B13-2","28.971","15.863","13.951","34.923","15.707","24.879","12.302"
"B13-2","29.373","15.640","13.929","34.701","15.997","25.930","12.699"
"B13-2","30.041","15.622","13.897","33.627","15.726","24.976","12.453"
"B13-3","31.073","17.401","15.869","36.874","21.991","25.935","14.462"
"B13-3","31.763","17.087","15.688","35.201","21.879","25.562","14.483"
"B13-3","32.600","17.155","15.674","34.022","21.800","25.641","14.508"
"B14-1","33.384","17.122","13.357","34.183","32.634","40","12.122"
"B14-1","33.933","17.027","13.625","34.660","31.762","40","12.569"
"B14-1","33.913","17.054","13.470","36.701","31.390","39.160","12.427"
"B14-2","33.549","16.509","14.000","37.932","22.193","40","12.960"
"B14-2","32.510","16.363","13.952","35.091","22.193","40","12.713"
"B14-2","33.517","16.465","13.949","37.050","22.099","39.758","13.006"
"B14-3","32.177","16.326","13.745","35.185","25.008","34.946","12.750"
"B14-3","32.055","16.601","13.645","34.869","24.794","40","12.603"
"B14-3","34.900","16.603","13.692","35.801","24.642","38.421","12.869"
"B16-1","31.004","17.095","14.354","35.124","26.030","30.565","13.135"
"B16-1","31.106","17.070","14.318","35.121","25.905","30.296","12.989"
"B16-1","31.635","17.104","14.255","36.114","25.780","30.912","13.181"
"B16-2","29.859","17.186","15.421","34.632","26.412","28.461","13.272"
"B16-2","30.138","17.300","14.864","36.353","26.212","27.636","13.372"
"B16-2","30.073","17.284","14.728","34.786","26.477","27.998","13.659"
"B16-3","32.243","16.379","14.529","38.278","24.214","31.950","13.198"
"B16-3","32.882","16.398","14.509","36.191","24.216","32.240","13.312"
"B16-3","33.699","16.363","14.531","36.070","24.001","32.095","13.398"
"B17-1","28.341","16.815","15.173","35.023","22.881","40","13.552"
"B17-1","27.799","16.860","15.079","36.653","22.901","37.115","13.534"
"B17-1","28.233","16.629","15.027","34.166","22.848","39.725","13.752"
"B17-2","29.733","17.051","13.959","34.135","23.040","40","12.335"
